role,category,demand,automation_resistance,skill_depth,strategic_importance,score,salary_low_usd,salary_high_usd,demand_trend,verdict_tier
Principal Backend Engineer,Engineering,6,9,10,9,83,230000,600000,stable,fortress
Engineering Manager,Engineering Leadership,7,9,8,9,83,160000,400000,stable,fortress
Senior Technical PM,Product & Design,7,9,8,9,83,160000,400000,stable,fortress
Technical Program Manager,Specialized & Emerging,7,9,8,9,83,150000,380000,stable,fortress
AI Evaluations Engineer,Data & AI,7,9,9,8,82,150000,400000,rising,safe
AI Product Manager,Data & AI,8,8,8,9,82,160000,450000,rising,safe
Data Engineer,Data & AI,9,7,8,9,82,110000,310000,rising,safe
ML Infrastructure Engineer,Data & AI,7,9,9,8,82,170000,420000,rising,safe
Senior Computer Vision Engineer,Data & AI,7,9,9,8,82,160000,400000,stable,safe
Rust Backend Engineer,Engineering,7,9,9,8,82,130000,380000,rising,safe
Chief Product Officer,Engineering Leadership,6,9,8,10,82,250000,700000,stable,safe
Fellow Engineer,Engineering Leadership,4,10,10,10,82,350000,1200000,stable,safe
Tech Lead Manager,Engineering Leadership,8,8,8,9,82,180000,400000,stable,safe
Kubernetes / Container Platform Engineer,Platform & Infrastructure,8,8,9,8,82,130000,340000,rising,safe
Senior Kubernetes Engineer,Platform & Infrastructure,8,8,9,8,82,150000,380000,rising,safe
Senior IR Engineer,Security,7,9,9,8,82,150000,360000,rising,safe
AI Interpretability Researcher,Data & AI,5,10,10,8,81,180000,600000,rising,safe
Algorithmic Trading Engineer,Data & AI,5,10,10,8,81,180000,700000,stable,safe
Computer Vision Researcher,Data & AI,6,9,10,8,81,170000,450000,rising,safe
Drug Discovery ML Engineer,Data & AI,5,10,10,8,81,140000,380000,rising,safe
HFT Engineer (High-Frequency Trading),Data & AI,5,10,10,8,81,200000,1000000,stable,safe
Quantitative Researcher,Data & AI,5,10,10,8,81,200000,800000,stable,safe
Research Scientist,Data & AI,6,9,10,8,81,160000,500000,rising,safe
Staff Data Engineer,Data & AI,7,8,9,9,81,180000,450000,rising,safe
Vision-Language Model Engineer,Data & AI,6,9,10,8,81,160000,450000,rising,safe
AI Accelerator Hardware Engineer,Engineering,5,10,10,8,81,180000,500000,rising,safe
ASIC Design Engineer,Engineering,5,10,10,8,81,140000,400000,rising,safe
Aerospace Embedded Engineer,Engineering,5,10,10,8,81,120000,320000,stable,safe
C++ Backend / Server Engineer,Engineering,6,9,10,8,81,130000,360000,stable,safe
Chip Design Engineer,Engineering,5,10,10,8,81,150000,420000,rising,safe
Defense Embedded Engineer,Engineering,5,10,10,8,81,120000,320000,stable,safe
Path Planning Engineer,Engineering,5,10,10,8,81,150000,420000,stable,safe
SLAM Engineer,Engineering,5,10,10,8,81,150000,420000,stable,safe
Self-Driving Controls Engineer,Engineering,5,10,10,8,81,160000,450000,rising,safe
Senior Systems Engineer,Engineering,6,9,10,8,81,150000,400000,stable,safe
Software Architect,Engineering,6,9,9,9,81,160000,400000,stable,safe
Staff Backend Engineer,Engineering,7,8,9,9,81,200000,500000,stable,safe
Systems / Low-level Engineer,Engineering,6,9,10,8,81,110000,350000,stable,safe
Director of Data,Engineering Leadership,6,9,9,9,81,200000,500000,stable,safe
Director of Infrastructure,Engineering Leadership,6,9,9,9,81,200000,500000,stable,safe
Director of Platform,Engineering Leadership,6,9,9,9,81,200000,500000,stable,safe
Director of Security,Engineering Leadership,6,9,9,9,81,200000,500000,rising,safe
Head of DevOps / SRE,Engineering Leadership,6,9,9,9,81,190000,450000,stable,safe
Head of Engineering,Engineering Leadership,6,9,9,9,81,200000,500000,stable,safe
Senior Director of Engineering,Engineering Leadership,6,9,9,9,81,220000,550000,stable,safe
Principal Product Manager,Product & Design,6,9,9,9,81,220000,550000,stable,safe
Application Security Architect,Security,6,9,9,9,81,150000,380000,rising,safe
Cryptography Engineer,Security,5,10,10,8,81,140000,380000,stable,safe
Security Researcher,Security,5,10,10,8,81,130000,400000,stable,safe
Vulnerability Researcher,Security,5,10,10,8,81,130000,400000,stable,safe
Principal TPM,Specialized & Emerging,6,9,9,9,81,220000,500000,stable,safe
Language Runtime Engineer (V8),Engineering,4,10,10,9,80,170000,480000,stable,safe
Chief Information Officer (CIO),Engineering Leadership,6,9,8,9,80,250000,700000,stable,safe
Deputy CISO,Engineering Leadership,6,9,8,9,80,180000,450000,rising,safe
Head of Backend,Engineering Leadership,6,9,8,9,80,190000,450000,stable,safe
Group Product Manager,Product & Design,6,9,8,9,80,180000,450000,stable,safe
Platform Product Manager,Product & Design,6,9,8,9,80,160000,400000,stable,safe
DevSecOps Engineer,Security,8,8,8,8,80,120000,310000,rising,safe
Incident Response Engineer,Security,8,8,8,8,80,120000,310000,rising,safe
Forward Deployed Engineer,Specialized & Emerging,8,8,8,8,80,140000,400000,rising,safe
Computational Biology Engineer,Data & AI,5,10,10,7,79,110000,300000,stable,safe
Computer Vision Engineer,Data & AI,7,8,9,8,79,130000,360000,stable,safe
Diffusion Model Engineer,Data & AI,6,9,10,7,79,150000,420000,rising,safe
Fine-tuning Specialist,Data & AI,7,8,9,8,79,150000,400000,rising,safe
ML Platform Engineer,Data & AI,7,8,9,8,79,160000,400000,rising,safe
RL Researcher,Data & AI,5,10,10,7,79,160000,450000,stable,safe
RLHF Engineer,Data & AI,6,9,9,8,79,160000,450000,rising,safe
Reinforcement Learning Engineer,Data & AI,6,9,10,7,79,140000,400000,stable,safe
Senior Applied Scientist,Data & AI,6,8,10,9,79,180000,480000,rising,safe
Senior Data Engineer,Data & AI,8,7,8,9,79,140000,340000,rising,safe
Video Generation Engineer,Data & AI,6,9,10,7,79,150000,420000,rising,safe
Automotive Software Engineer (AUTOSAR),Engineering,6,9,9,8,79,110000,290000,rising,safe
Backend Performance Engineer,Engineering,6,9,9,8,79,140000,360000,stable,safe
Microservices Architect,Engineering,7,8,9,8,79,160000,400000,stable,safe
Performance Engineer,Engineering,6,9,9,8,79,120000,330000,stable,safe
Real-time Systems Engineer,Engineering,6,9,9,8,79,140000,400000,stable,safe
Robotics Software Engineer,Engineering,6,9,9,8,79,120000,330000,rising,safe
Semiconductor Engineer,Engineering,5,10,10,7,79,130000,360000,rising,safe
Senior Embedded Engineer,Engineering,6,9,9,8,79,120000,300000,stable,safe
Streaming Systems Engineer (Kafka),Engineering,7,8,9,8,79,140000,380000,rising,safe
Verification Engineer (RTL),Engineering,5,10,10,7,79,130000,360000,stable,safe
Production Engineer,Platform & Infrastructure,7,8,9,8,79,140000,360000,stable,safe
Senior Infrastructure Engineer,Platform & Infrastructure,7,8,9,8,79,150000,360000,stable,safe
Technical Product Manager,Product & Design,7,8,8,9,79,130000,340000,stable,safe
Cloud Pentester,Security,6,9,9,8,79,120000,300000,rising,safe
DFIR (Forensics & Incident Response),Security,6,9,9,8,79,120000,320000,rising,safe
Penetration Tester,Security,7,8,9,8,79,100000,280000,stable,safe
Supply Chain Security Engineer,Security,6,9,9,8,79,140000,360000,rising,safe
Zero Trust Architect,Security,6,9,9,8,79,150000,380000,rising,safe
Senior Solutions Architect,Specialized & Emerging,7,8,9,8,79,170000,400000,stable,safe
Solutions Architect,Specialized & Emerging,7,8,9,8,79,140000,340000,stable,safe
Distributed Training Engineer,Data & AI,5,9,10,8,78,170000,480000,rising,safe
Browser Engine Engineer (Chromium),Engineering,4,10,10,8,78,180000,500000,stable,safe
Cleared Defense Software Engineer (TS/SCI),Engineering,6,9,8,8,78,130000,320000,rising,safe
Compiler Engineer,Engineering,4,10,10,8,78,140000,400000,stable,safe
"Container Runtime Engineer (containerd, runc)",Engineering,4,10,10,8,78,150000,410000,stable,safe
Defense Software Engineer,Engineering,6,9,8,8,78,120000,300000,rising,safe
Humanoid Robotics Engineer,Engineering,4,10,10,8,78,160000,450000,rising,safe
Hypervisor / Virtualization Engineer,Engineering,4,10,10,8,78,150000,420000,stable,safe
LLVM Engineer,Engineering,4,10,10,8,78,150000,420000,stable,safe
Language Runtime Engineer (JVM),Engineering,4,10,10,8,78,160000,450000,stable,safe
Linux Kernel Developer,Engineering,4,10,10,8,78,150000,420000,stable,safe
Satellite Software Engineer,Engineering,4,10,10,8,78,130000,360000,rising,safe
Senior Rendering Engineer,Engineering,5,9,10,8,78,160000,420000,stable,safe
TPU / NPU Hardware Engineer,Engineering,4,10,10,8,78,180000,500000,rising,safe
Trading Systems Engineer,Engineering,5,9,10,8,78,160000,500000,stable,safe
Windows Kernel / Driver Developer,Engineering,4,10,10,8,78,140000,400000,stable,safe
Zero-Knowledge Proof Engineer,Engineering,4,10,10,8,78,160000,480000,rising,safe
Senior Product Manager,Product & Design,7,8,7,9,78,150000,360000,stable,safe
Privacy Engineer,Security,6,9,8,8,78,130000,320000,rising,safe
Applied ML Engineer,Data & AI,8,7,8,8,77,140000,360000,rising,safe
Data Platform Engineer,Data & AI,7,8,8,8,77,140000,340000,rising,safe
Go Backend Engineer,Engineering,8,7,8,8,77,120000,320000,rising,safe
Senior Backend Engineer,Engineering,8,7,8,8,77,140000,320000,stable,safe
AWS Security Specialist,Platform & Infrastructure,7,8,8,8,77,130000,340000,rising,safe
AWS Solutions Architect,Platform & Infrastructure,7,8,8,8,77,140000,350000,stable,safe
Cloud Architect,Platform & Infrastructure,7,8,8,8,77,150000,360000,stable,safe
Databricks Engineer,Platform & Infrastructure,7,8,8,8,77,140000,340000,rising,safe
Infrastructure Engineer,Platform & Infrastructure,7,8,8,8,77,120000,310000,stable,safe
Observability Engineer,Platform & Infrastructure,7,8,8,8,77,120000,320000,rising,safe
Senior Sales Engineer,Specialized & Emerging,7,8,8,8,77,160000,400000,rising,safe
Senior Solutions Engineer,Specialized & Emerging,7,8,8,8,77,150000,380000,rising,safe
3D Vision Engineer,Data & AI,5,9,10,7,76,150000,400000,rising,safe
AI Sales Engineer,Data & AI,7,8,7,8,76,140000,380000,rising,safe
Applied Scientist,Data & AI,6,8,9,8,76,150000,380000,rising,safe
Climate Modeling Engineer,Data & AI,4,10,10,7,76,120000,320000,rising,safe
Data Infrastructure Engineer,Data & AI,6,8,9,8,76,140000,340000,rising,safe
ML Benchmark / Eval Researcher,Data & AI,5,9,9,8,76,150000,380000,rising,safe
ML Compiler Engineer (TVM/XLA),Data & AI,4,10,10,7,76,160000,450000,rising,safe
ML Reliability Engineer,Data & AI,5,9,9,8,76,150000,380000,rising,safe
Protein Structure Prediction Engineer,Data & AI,4,10,10,7,76,140000,380000,rising,safe
Aerospace Software Engineer,Engineering,5,9,9,8,76,110000,290000,stable,safe
Analog Design Engineer,Engineering,4,10,10,7,76,130000,360000,stable,safe
Bare Metal / Firmware-near Engineer,Engineering,4,10,10,7,76,130000,360000,stable,safe
Blockchain Protocol Engineer,Engineering,4,10,10,7,76,150000,420000,stable,safe
Computational Photography Engineer,Engineering,4,10,10,7,76,140000,360000,stable,safe
DSP Engineer (Digital Signal Processing),Engineering,4,10,10,7,76,130000,340000,stable,safe
Digital Design Engineer,Engineering,4,10,10,7,76,130000,350000,stable,safe
DirectX Engineer,Engineering,4,10,10,7,76,130000,340000,stable,safe
Embedded Systems Architect,Engineering,4,10,10,7,76,150000,380000,stable,safe
Event-Driven Architecture Engineer,Engineering,6,8,9,8,76,140000,380000,stable,safe
FPGA Design Engineer,Engineering,4,10,10,7,76,130000,360000,stable,safe
FPGA Software Engineer,Engineering,4,10,10,7,76,130000,340000,stable,safe
Game Rendering / Graphics Programmer,Engineering,5,9,10,7,76,130000,340000,stable,safe
Graphics / Rendering Engineer,Engineering,5,9,10,7,76,130000,380000,stable,safe
Layer 2 / Rollup Engineer,Engineering,4,10,10,7,76,150000,420000,stable,safe
Medical Device Firmware Engineer,Engineering,5,9,9,8,76,110000,280000,stable,safe
Metal Engineer (Apple),Engineering,4,10,10,7,76,130000,340000,stable,safe
Mixed-signal Design Engineer,Engineering,4,10,10,7,76,140000,370000,stable,safe
Physical Design Engineer,Engineering,4,10,10,7,76,140000,370000,stable,safe
RTL Designer,Engineering,4,10,10,7,76,130000,350000,stable,safe
Real-time Ray Tracing Engineer,Engineering,4,10,10,7,76,140000,360000,rising,safe
Risk Engineer (Financial),Engineering,5,9,9,8,76,140000,380000,stable,safe
Robotic Manipulation Engineer,Engineering,4,10,10,7,76,140000,380000,rising,safe
Senior Firmware Engineer,Engineering,5,9,9,8,76,130000,320000,stable,safe
Space / Orbital Software Engineer,Engineering,4,10,10,7,76,130000,360000,rising,safe
SystemVerilog Engineer,Engineering,4,10,10,7,76,130000,350000,stable,safe
VLSI Engineer,Engineering,4,10,10,7,76,130000,350000,stable,safe
Verilog Engineer,Engineering,4,10,10,7,76,120000,340000,stable,safe
Video Codec Engineer,Engineering,4,10,10,7,76,140000,360000,stable,safe
Vulkan Engineer,Engineering,4,10,10,7,76,130000,340000,stable,safe
Automotive Security Engineer,Security,5,9,9,8,76,130000,330000,rising,safe
Cryptographic Protocol Engineer,Security,4,10,10,7,76,150000,400000,stable,safe
Differential Privacy Engineer,Security,4,10,10,7,76,140000,360000,rising,safe
Exploit Developer,Security,4,10,10,7,76,150000,450000,stable,safe
GRC / Compliance Engineer,Security,7,8,7,8,76,110000,260000,rising,safe
Hardware Security Engineer,Security,4,10,10,7,76,140000,360000,stable,safe
Kubernetes Security Engineer,Security,6,8,9,8,76,130000,330000,rising,safe
Reverse Engineer,Security,4,10,10,7,76,130000,360000,stable,safe
Sales Engineer,Specialized & Emerging,7,8,7,8,76,130000,350000,rising,safe
Solutions Engineer,Specialized & Emerging,7,8,7,8,76,120000,320000,rising,safe
AI Solutions Engineer,Data & AI,8,7,7,8,75,130000,340000,rising,safe
Applied AI Engineer,Data & AI,9,6,7,8,75,130000,360000,rising,safe
Generative AI Engineer,Data & AI,9,6,7,8,75,130000,380000,rising,safe
RAG (Retrieval-Augmented Generation) Engineer,Data & AI,8,7,7,8,75,130000,340000,rising,safe
Enterprise Architect,Engineering,5,9,8,8,75,150000,380000,stable,safe
Full-Stack AI Engineer,Engineering,9,6,7,8,75,130000,360000,rising,safe
Garbage Collection Engineer,Engineering,3,10,10,8,75,160000,440000,stable,safe
Language Runtime Engineer (CLR),Engineering,3,10,10,8,75,150000,400000,stable,safe
Memory Management Engineer,Engineering,3,10,10,8,75,150000,410000,stable,safe
Director of Product,Engineering Leadership,6,8,7,9,75,190000,450000,stable,safe
Developer Experience Engineer,Specialized & Emerging,7,8,8,7,75,120000,300000,rising,safe
Bioinformatics Engineer,Data & AI,5,9,9,7,74,100000,280000,stable,safe
Fraud ML Engineer,Data & AI,6,8,8,8,74,130000,330000,rising,safe
Image Generation Engineer,Data & AI,6,8,9,7,74,140000,380000,rising,safe
JAX Specialist,Data & AI,5,9,9,7,74,140000,360000,rising,safe
Ray / Distributed ML Engineer,Data & AI,5,9,9,7,74,150000,400000,rising,safe
Search ML Engineer (Learning to Rank),Data & AI,6,8,9,7,74,140000,350000,stable,safe
Triton Inference Server Engineer,Data & AI,5,9,9,7,74,150000,380000,rising,safe
vLLM / SGLang Engineer,Data & AI,5,9,9,7,74,150000,400000,rising,safe
Embedded C Engineer,Engineering,5,9,9,7,74,95000,250000,stable,safe
Embedded C++ Engineer,Engineering,5,9,9,7,74,110000,280000,stable,safe
Embedded Engineer,Engineering,6,8,9,7,74,90000,230000,stable,safe
Embedded Linux Engineer,Engineering,5,9,9,7,74,110000,290000,stable,safe
FinTech Backend Engineer,Engineering,7,7,8,8,74,130000,360000,stable,safe
Firmware Engineer,Engineering,5,9,9,7,74,100000,260000,stable,safe
Healthcare Software Engineer,Engineering,6,8,8,8,74,110000,290000,rising,safe
ROS Engineer,Engineering,5,9,9,7,74,110000,290000,rising,safe
"RTOS Engineer (FreeRTOS, Zephyr)",Engineering,5,9,9,7,74,110000,280000,stable,safe
Reliability Engineer (Application),Engineering,6,8,8,8,74,130000,320000,stable,safe
Robotics Firmware Engineer,Engineering,5,9,9,7,74,120000,310000,rising,safe
Search Backend Engineer (Elasticsearch),Engineering,6,8,8,8,74,130000,350000,stable,safe
Software Modernization Engineer (Legacy → Cloud),Engineering,6,8,8,8,74,140000,340000,rising,safe
WebAssembly (WASM) Engineer,Engineering,5,9,9,7,74,130000,340000,rising,safe
AWS Data Engineer,Platform & Infrastructure,7,7,8,8,74,120000,310000,stable,safe
Azure AI Engineer,Platform & Infrastructure,7,7,8,8,74,120000,320000,rising,safe
Azure Solutions Architect,Platform & Infrastructure,6,8,8,8,74,140000,340000,stable,safe
Cloud Solutions Architect,Platform & Infrastructure,6,8,8,8,74,150000,360000,stable,safe
GCP Solutions Architect,Platform & Infrastructure,6,8,8,8,74,140000,340000,stable,safe
Kubernetes Operator Developer,Platform & Infrastructure,5,9,9,7,74,140000,350000,stable,safe
Lead DevOps Engineer,Platform & Infrastructure,6,8,8,8,74,150000,360000,stable,safe
Senior Database Engineer,Platform & Infrastructure,6,8,9,7,74,130000,310000,stable,safe
Senior DevOps Engineer,Platform & Infrastructure,7,7,8,8,74,130000,320000,stable,safe
Senior Design Engineer,Product & Design,6,8,9,7,74,140000,320000,rising,safe
API Security Engineer,Security,6,8,8,8,74,120000,310000,rising,safe
Container Security Engineer,Security,6,8,8,8,74,120000,310000,rising,safe
Network Security Engineer,Security,6,8,8,8,74,110000,280000,stable,safe
Open Source Security Engineer,Security,5,9,9,7,74,130000,320000,rising,safe
Pre-sales Solutions Architect,Specialized & Emerging,6,8,8,8,74,150000,380000,stable,safe
Senior Developer Experience Engineer,Specialized & Emerging,6,8,9,7,74,150000,360000,rising,safe
AI Application Engineer,Data & AI,10,5,6,8,73,120000,320000,rising,safe
Weather / Atmospheric ML Engineer,Data & AI,3,10,10,7,73,130000,340000,stable,safe
Bitcoin Core Developer,Engineering,3,10,10,7,73,130000,360000,stable,safe
Browser Engine Engineer (WebKit),Engineering,3,10,10,7,73,170000,480000,stable,safe
Climate Tech Software Engineer,Engineering,5,9,8,7,73,110000,280000,rising,safe
Codec Engineer,Engineering,3,10,10,7,73,140000,360000,stable,safe
Domain-Driven Design Architect,Engineering,5,8,9,8,73,150000,380000,stable,safe
EDA Software Engineer,Engineering,3,10,10,7,73,140000,360000,stable,safe
Game Engine Programmer,Engineering,4,9,10,7,73,140000,350000,stable,safe
Programming Language Designer,Engineering,3,10,10,7,73,150000,420000,stable,safe
Quantum Algorithms Engineer,Engineering,3,10,10,7,73,150000,400000,rising,safe
Quantum Software Engineer,Engineering,3,10,10,7,73,140000,380000,rising,safe
Rendering Researcher,Engineering,3,10,10,7,73,150000,400000,stable,safe
Smart Contract Auditor,Engineering,4,9,10,7,73,140000,400000,stable,safe
Trading Infrastructure Engineer,Engineering,4,9,9,8,73,160000,450000,stable,safe
macOS / Darwin Engineer,Engineering,3,10,10,7,73,140000,380000,stable,safe
zk-SNARK Engineer,Engineering,3,10,10,7,73,150000,450000,rising,safe
zk-STARK Engineer,Engineering,3,10,10,7,73,150000,450000,rising,safe
API Product Manager,Product & Design,6,8,7,8,73,140000,330000,rising,safe
Data Product Manager,Product & Design,6,8,7,8,73,140000,350000,rising,safe
Enterprise Product Manager,Product & Design,6,8,7,8,73,140000,340000,stable,safe
Product Manager,Product & Design,7,7,6,9,73,110000,310000,stable,safe
GDPR / Privacy Compliance Engineer,Security,6,8,7,8,73,110000,270000,rising,safe
Pre-sales Engineer,Specialized & Emerging,6,8,7,8,73,130000,320000,stable,safe
Databricks Data Engineer,Data & AI,7,7,8,7,72,130000,310000,rising,safe
Hugging Face / Transformers Engineer,Data & AI,7,7,8,7,72,130000,320000,rising,safe
NLP Researcher,Data & AI,5,8,10,7,72,160000,420000,stable,safe
PyTorch Specialist,Data & AI,7,7,8,7,72,130000,320000,rising,safe
Real-time Data Engineer,Data & AI,6,8,8,7,72,130000,320000,rising,safe
Recommender Systems Engineer,Data & AI,7,7,8,7,72,120000,310000,stable,safe
Streaming Data Engineer,Data & AI,6,8,8,7,72,130000,310000,rising,safe
Voice AI Engineer,Data & AI,7,7,8,7,72,130000,350000,rising,safe
Backend API Engineer,Engineering,8,6,7,8,72,100000,280000,stable,safe
Backend Engineer,Engineering,8,6,7,8,72,90000,280000,stable,safe
Python Backend Engineer,Engineering,8,6,7,8,72,100000,290000,rising,safe
AWS DevOps Engineer,Platform & Infrastructure,7,7,7,8,72,110000,290000,stable,safe
CI/CD Engineer,Platform & Infrastructure,7,7,7,8,72,110000,290000,stable,safe
DevOps Engineer,Platform & Infrastructure,7,7,7,8,72,100000,290000,stable,safe
Snowflake Engineer,Platform & Infrastructure,7,7,7,8,72,130000,320000,rising,safe
Vector Database Engineer (Pinecone/Weaviate),Platform & Infrastructure,6,8,8,7,72,130000,320000,rising,safe
Design Director,Product & Design,4,9,8,8,72,180000,420000,stable,safe
Design Engineer,Product & Design,7,7,8,7,72,110000,280000,rising,safe
Design Systems Engineer,Product & Design,6,8,8,7,72,110000,270000,stable,safe
Security QA Engineer,Quality & Testing,6,8,8,7,72,110000,270000,rising,safe
Test Architect,Quality & Testing,6,8,8,7,72,120000,290000,stable,safe
Bug Bounty Hunter,Security,5,9,9,6,72,50000,500000,stable,safe
Identity & Access Management Engineer,Security,7,7,8,7,72,110000,260000,stable,safe
Security Automation / SOAR Engineer,Security,6,8,8,7,72,120000,300000,rising,safe
Threat Hunter,Security,6,8,8,7,72,110000,280000,rising,safe
Web Application Pentester,Security,6,8,8,7,72,100000,260000,stable,safe
Audio ML Engineer,Data & AI,5,8,9,7,71,130000,350000,stable,safe
Principal Data Scientist,Data & AI,4,8,10,8,71,220000,500000,stable,safe
Quantitative Analyst,Data & AI,5,8,9,7,71,130000,400000,stable,safe
Speech Recognition Engineer,Data & AI,5,8,9,7,71,130000,350000,stable,safe
