role,category,score,tier,postings_2yr_pct,ai_mention_pct_2026,ai_mention_delta_pp,ai_impact_bucket
Chief Architect,Engineering Leadership,88,fortress,0.0,0,0,stable
VP of Infrastructure,Engineering Leadership,88,fortress,0.0,0,0,stable
VP of Platform,Engineering Leadership,88,fortress,0.0,0,0,stable
AI Infrastructure Engineer,Data & AI,87,fortress,0.0,0,0,stable
LLM Engineer,Data & AI,87,fortress,0.0,0,0,stable
Senior ML Engineer,Data & AI,87,fortress,0.0,0,0,stable
SVP of Engineering,Engineering Leadership,87,fortress,0.0,0,0,stable
AI / ML Security Engineer,Security,87,fortress,0.0,0,0,stable
AI Red Team Engineer,Security,87,fortress,0.0,0,0,stable
Security Architect,Security,87,fortress,0.0,0,0,stable
Senior Application Security Engineer,Security,87,fortress,0.0,0,0,stable
Senior Cloud Security Engineer,Security,87,fortress,0.0,0,0,stable
ML Research Engineer,Data & AI,86,fortress,0.0,0,0,stable
Pretraining Engineer,Data & AI,86,fortress,0.0,0,0,stable
Principal ML Engineer,Data & AI,86,fortress,0.0,0,0,stable
Autonomous Vehicle Software Engineer,Engineering,86,fortress,0.0,0,0,stable
Distributed Systems Engineer,Engineering,86,fortress,0.0,0,0,stable
GPU Engineer,Engineering,86,fortress,0.0,0,0,stable
Self-Driving Perception Engineer,Engineering,86,fortress,0.0,0,0,stable
Self-Driving Planning Engineer,Engineering,86,fortress,0.0,0,0,stable
Triton (GPU) Kernel Engineer,Engineering,86,fortress,0.0,0,0,stable
Director of AI / ML,Engineering Leadership,86,fortress,0.0,0,0,stable
VP of Product Engineering,Engineering Leadership,86,fortress,0.0,0,0,stable
Staff Platform Engineer,Platform & Infrastructure,86,fortress,0.0,0,0,stable
Staff SRE,Platform & Infrastructure,86,fortress,0.0,0,0,stable
AI Forward Deployed Engineer,Data & AI,85,fortress,0.0,0,0,stable
Senior AI Agent Engineer,Data & AI,85,fortress,0.0,0,0,stable
Distinguished Engineer,Engineering Leadership,85,fortress,0.0,0,0,stable
VP of Product,Engineering Leadership,85,fortress,0.0,0,0,stable
Multimodal AI Engineer,Data & AI,84,fortress,0.0,0,0,stable
Quantitative Developer,Data & AI,84,fortress,0.0,0,0,stable
Red-team AI Engineer (Model Safety),Data & AI,84,fortress,0.0,0,0,stable
Senior MLOps Engineer,Data & AI,84,fortress,0.0,0,0,stable
Chief Data Officer (CDO),Engineering Leadership,84,fortress,0.0,0,0,stable
Director of Engineering,Engineering Leadership,84,fortress,0.0,0,0,stable
Group Engineering Manager,Engineering Leadership,84,fortress,0.0,0,0,stable
Senior Engineering Manager,Engineering Leadership,84,fortress,0.0,0,0,stable
VP of Data,Engineering Leadership,84,fortress,0.0,0,0,stable
Internal Developer Platform (IDP) Engineer,Platform & Infrastructure,84,fortress,0.0,0,0,stable
Senior Platform Engineer,Platform & Infrastructure,84,fortress,0.0,0,0,stable
Senior SRE,Platform & Infrastructure,84,fortress,0.0,0,0,stable
Cloud Security Architect,Security,84,fortress,0.0,0,0,stable
Product Security Engineer,Security,84,fortress,0.0,0,0,stable
Senior Forward Deployed Engineer,Specialized & Emerging,84,fortress,0.0,0,0,stable
Senior TPM,Specialized & Emerging,84,fortress,0.0,0,0,stable
AI Agent Engineer,Data & AI,83,fortress,0.0,0,0,stable
Principal Data Engineer,Data & AI,83,fortress,0.0,0,0,stable
Principal Backend Engineer,Engineering,83,fortress,0.0,0,0,stable
Engineering Manager,Engineering Leadership,83,fortress,0.2,56,38,stable
Senior Technical PM,Product & Design,83,fortress,0.0,0,0,stable
Technical Program Manager,Specialized & Emerging,83,fortress,0.0,0,0,stable
AI Evaluations Engineer,Data & AI,82,safe,0.0,0,0,stable
AI Product Manager,Data & AI,82,safe,0.0,0,0,stable
ML Infrastructure Engineer,Data & AI,82,safe,0.0,0,0,stable
Senior Computer Vision Engineer,Data & AI,82,safe,0.0,0,0,stable
Rust Backend Engineer,Engineering,82,safe,0.0,0,0,stable
Chief Product Officer,Engineering Leadership,82,safe,0.0,0,0,stable
Fellow Engineer,Engineering Leadership,82,safe,0.0,0,0,stable
Tech Lead Manager,Engineering Leadership,82,safe,0.0,0,0,stable
Kubernetes / Container Platform Engineer,Platform & Infrastructure,82,safe,0.0,0,0,stable
Senior Kubernetes Engineer,Platform & Infrastructure,82,safe,0.0,0,0,stable
Senior IR Engineer,Security,82,safe,0.0,0,0,stable
AI Interpretability Researcher,Data & AI,81,safe,0.0,0,0,stable
Algorithmic Trading Engineer,Data & AI,81,safe,0.0,0,0,stable
Computer Vision Researcher,Data & AI,81,safe,0.0,0,0,stable
Drug Discovery ML Engineer,Data & AI,81,safe,0.0,0,0,stable
HFT Engineer (High-Frequency Trading),Data & AI,81,safe,0.0,0,0,stable
Quantitative Researcher,Data & AI,81,safe,0.0,0,0,stable
Research Scientist,Data & AI,81,safe,0.0,0,0,stable
Staff Data Engineer,Data & AI,81,safe,0.0,0,0,stable
Vision-Language Model Engineer,Data & AI,81,safe,0.0,0,0,stable
AI Accelerator Hardware Engineer,Engineering,81,safe,0.0,0,0,stable
ASIC Design Engineer,Engineering,81,safe,0.0,0,0,stable
Aerospace Embedded Engineer,Engineering,81,safe,0.0,0,0,stable
C++ Backend / Server Engineer,Engineering,81,safe,0.0,0,0,stable
Chip Design Engineer,Engineering,81,safe,0.0,0,0,stable
Defense Embedded Engineer,Engineering,81,safe,0.0,0,0,stable
Path Planning Engineer,Engineering,81,safe,0.0,0,0,stable
SLAM Engineer,Engineering,81,safe,0.0,0,0,stable
Self-Driving Controls Engineer,Engineering,81,safe,0.0,0,0,stable
Senior Systems Engineer,Engineering,81,safe,0.0,0,0,stable
Software Architect,Engineering,81,safe,0.0,0,0,stable
Staff Backend Engineer,Engineering,81,safe,0.0,0,0,stable
Director of Data,Engineering Leadership,81,safe,0.0,0,0,stable
Director of Infrastructure,Engineering Leadership,81,safe,0.0,0,0,stable
Director of Platform,Engineering Leadership,81,safe,0.0,0,0,stable
Director of Security,Engineering Leadership,81,safe,0.0,0,0,stable
Head of DevOps / SRE,Engineering Leadership,81,safe,0.0,0,0,stable
Head of Engineering,Engineering Leadership,81,safe,0.0,0,0,stable
Senior Director of Engineering,Engineering Leadership,81,safe,0.0,0,0,stable
Principal Product Manager,Product & Design,81,safe,0.0,0,0,stable
Application Security Architect,Security,81,safe,0.0,0,0,stable
Cryptography Engineer,Security,81,safe,0.0,0,0,stable
Security Researcher,Security,81,safe,0.0,0,0,stable
Vulnerability Researcher,Security,81,safe,0.0,0,0,stable
Principal TPM,Specialized & Emerging,81,safe,0.0,0,0,stable
Language Runtime Engineer (V8),Engineering,80,safe,0.0,0,0,stable
Chief Information Officer (CIO),Engineering Leadership,80,safe,0.0,0,0,stable
Deputy CISO,Engineering Leadership,80,safe,0.0,0,0,stable
Head of Backend,Engineering Leadership,80,safe,0.0,0,0,stable
Group Product Manager,Product & Design,80,safe,0.0,0,0,stable
Platform Product Manager,Product & Design,80,safe,0.0,0,0,stable
DevSecOps Engineer,Security,80,safe,0.0,0,0,stable
Incident Response Engineer,Security,80,safe,0.0,0,0,stable
Forward Deployed Engineer,Specialized & Emerging,80,safe,0.0,0,0,stable
Computational Biology Engineer,Data & AI,79,safe,0.0,0,0,stable
Computer Vision Engineer,Data & AI,79,safe,0.0,0,0,stable
Diffusion Model Engineer,Data & AI,79,safe,0.0,0,0,stable
Fine-tuning Specialist,Data & AI,79,safe,0.0,0,0,stable
ML Platform Engineer,Data & AI,79,safe,0.0,0,0,stable
RL Researcher,Data & AI,79,safe,0.0,0,0,stable
RLHF Engineer,Data & AI,79,safe,0.0,0,0,stable
Reinforcement Learning Engineer,Data & AI,79,safe,0.0,0,0,stable
Senior Applied Scientist,Data & AI,79,safe,0.0,0,0,stable
Senior Data Engineer,Data & AI,79,safe,0.0,0,0,stable
Video Generation Engineer,Data & AI,79,safe,0.0,0,0,stable
Automotive Software Engineer (AUTOSAR),Engineering,79,safe,0.0,0,0,stable
Backend Performance Engineer,Engineering,79,safe,0.0,0,0,stable
Microservices Architect,Engineering,79,safe,0.0,0,0,stable
Performance Engineer,Engineering,79,safe,0.0,0,0,stable
Real-time Systems Engineer,Engineering,79,safe,0.0,0,0,stable
Robotics Software Engineer,Engineering,79,safe,0.0,0,0,stable
Semiconductor Engineer,Engineering,79,safe,0.0,0,0,stable
Senior Embedded Engineer,Engineering,79,safe,0.0,0,0,stable
Streaming Systems Engineer (Kafka),Engineering,79,safe,0.0,0,0,stable
Verification Engineer (RTL),Engineering,79,safe,0.0,0,0,stable
Production Engineer,Platform & Infrastructure,79,safe,0.0,0,0,stable
Senior Infrastructure Engineer,Platform & Infrastructure,79,safe,0.0,0,0,stable
Cloud Pentester,Security,79,safe,0.0,0,0,stable
DFIR (Forensics & Incident Response),Security,79,safe,0.0,0,0,stable
Penetration Tester,Security,79,safe,0.0,0,0,stable
Supply Chain Security Engineer,Security,79,safe,0.0,0,0,stable
Zero Trust Architect,Security,79,safe,0.0,0,0,stable
Senior Solutions Architect,Specialized & Emerging,79,safe,0.0,0,0,stable
Distributed Training Engineer,Data & AI,78,safe,0.0,0,0,stable
Browser Engine Engineer (Chromium),Engineering,78,safe,0.0,0,0,stable
Cleared Defense Software Engineer (TS/SCI),Engineering,78,safe,0.0,0,0,stable
Compiler Engineer,Engineering,78,safe,0.0,0,0,stable
"Container Runtime Engineer (containerd, runc)",Engineering,78,safe,0.0,0,0,stable
Defense Software Engineer,Engineering,78,safe,0.0,0,0,stable
Humanoid Robotics Engineer,Engineering,78,safe,0.0,0,0,stable
Hypervisor / Virtualization Engineer,Engineering,78,safe,0.0,0,0,stable
LLVM Engineer,Engineering,78,safe,0.0,0,0,stable
Language Runtime Engineer (JVM),Engineering,78,safe,0.0,0,0,stable
Linux Kernel Developer,Engineering,78,safe,0.0,0,0,stable
Satellite Software Engineer,Engineering,78,safe,0.0,0,0,stable
Senior Rendering Engineer,Engineering,78,safe,0.0,0,0,stable
TPU / NPU Hardware Engineer,Engineering,78,safe,0.0,0,0,stable
Trading Systems Engineer,Engineering,78,safe,0.0,0,0,stable
Windows Kernel / Driver Developer,Engineering,78,safe,0.0,0,0,stable
Zero-Knowledge Proof Engineer,Engineering,78,safe,0.0,0,0,stable
Senior Product Manager,Product & Design,78,safe,0.0,0,0,stable
Privacy Engineer,Security,78,safe,0.0,0,0,stable
Applied ML Engineer,Data & AI,77,safe,0.0,0,0,stable
Data Platform Engineer,Data & AI,77,safe,0.0,0,0,stable
Go Backend Engineer,Engineering,77,safe,0.0,0,0,stable
Senior Backend Engineer,Engineering,77,safe,0.0,0,0,stable
AWS Security Specialist,Platform & Infrastructure,77,safe,0.0,0,0,stable
AWS Solutions Architect,Platform & Infrastructure,77,safe,0.0,0,0,stable
Cloud Architect,Platform & Infrastructure,77,safe,0.0,0,0,stable
Databricks Engineer,Platform & Infrastructure,77,safe,0.0,0,0,stable
Infrastructure Engineer,Platform & Infrastructure,77,safe,0.0,0,0,stable
Observability Engineer,Platform & Infrastructure,77,safe,0.0,0,0,stable
Senior Sales Engineer,Specialized & Emerging,77,safe,0.0,0,0,stable
Senior Solutions Engineer,Specialized & Emerging,77,safe,0.0,0,0,stable
3D Vision Engineer,Data & AI,76,safe,0.0,0,0,stable
AI Sales Engineer,Data & AI,76,safe,0.0,0,0,stable
Applied Scientist,Data & AI,76,safe,0.0,0,0,stable
Climate Modeling Engineer,Data & AI,76,safe,0.0,0,0,stable
Data Infrastructure Engineer,Data & AI,76,safe,0.0,0,0,stable
ML Benchmark / Eval Researcher,Data & AI,76,safe,0.0,0,0,stable
ML Compiler Engineer (TVM/XLA),Data & AI,76,safe,0.0,0,0,stable
ML Reliability Engineer,Data & AI,76,safe,0.0,0,0,stable
Protein Structure Prediction Engineer,Data & AI,76,safe,0.0,0,0,stable
Aerospace Software Engineer,Engineering,76,safe,0.0,0,0,stable
Analog Design Engineer,Engineering,76,safe,0.0,0,0,stable
Bare Metal / Firmware-near Engineer,Engineering,76,safe,0.0,0,0,stable
Blockchain Protocol Engineer,Engineering,76,safe,0.0,0,0,stable
Computational Photography Engineer,Engineering,76,safe,0.0,0,0,stable
DSP Engineer (Digital Signal Processing),Engineering,76,safe,0.0,0,0,stable
Digital Design Engineer,Engineering,76,safe,0.0,0,0,stable
DirectX Engineer,Engineering,76,safe,0.0,0,0,stable
Embedded Systems Architect,Engineering,76,safe,0.0,0,0,stable
Event-Driven Architecture Engineer,Engineering,76,safe,0.0,0,0,stable
FPGA Design Engineer,Engineering,76,safe,0.0,0,0,stable
FPGA Software Engineer,Engineering,76,safe,0.0,0,0,stable
Game Rendering / Graphics Programmer,Engineering,76,safe,0.0,0,0,stable
Graphics / Rendering Engineer,Engineering,76,safe,0.0,0,0,stable
Layer 2 / Rollup Engineer,Engineering,76,safe,0.0,0,0,stable
Medical Device Firmware Engineer,Engineering,76,safe,0.0,0,0,stable
Metal Engineer (Apple),Engineering,76,safe,0.0,0,0,stable
Mixed-signal Design Engineer,Engineering,76,safe,0.0,0,0,stable
Physical Design Engineer,Engineering,76,safe,0.0,0,0,stable
RTL Designer,Engineering,76,safe,0.0,0,0,stable
Real-time Ray Tracing Engineer,Engineering,76,safe,0.0,0,0,stable
Risk Engineer (Financial),Engineering,76,safe,0.0,0,0,stable
Robotic Manipulation Engineer,Engineering,76,safe,0.0,0,0,stable
Senior Firmware Engineer,Engineering,76,safe,0.0,0,0,stable
Space / Orbital Software Engineer,Engineering,76,safe,0.0,0,0,stable
SystemVerilog Engineer,Engineering,76,safe,0.0,0,0,stable
VLSI Engineer,Engineering,76,safe,0.0,0,0,stable
Verilog Engineer,Engineering,76,safe,0.0,0,0,stable
Video Codec Engineer,Engineering,76,safe,0.0,0,0,stable
Vulkan Engineer,Engineering,76,safe,0.0,0,0,stable
Automotive Security Engineer,Security,76,safe,0.0,0,0,stable
Cryptographic Protocol Engineer,Security,76,safe,0.0,0,0,stable
Differential Privacy Engineer,Security,76,safe,0.0,0,0,stable
Exploit Developer,Security,76,safe,0.0,0,0,stable
GRC / Compliance Engineer,Security,76,safe,0.0,0,0,stable
Hardware Security Engineer,Security,76,safe,0.0,0,0,stable
Kubernetes Security Engineer,Security,76,safe,0.0,0,0,stable
Reverse Engineer,Security,76,safe,0.0,0,0,stable
Sales Engineer,Specialized & Emerging,76,safe,0.0,0,0,stable
Solutions Engineer,Specialized & Emerging,76,safe,0.0,0,0,stable
AI Solutions Engineer,Data & AI,75,safe,0.0,0,0,stable
Applied AI Engineer,Data & AI,75,safe,0.0,0,0,stable
Generative AI Engineer,Data & AI,75,safe,0.0,0,0,stable
RAG (Retrieval-Augmented Generation) Engineer,Data & AI,75,safe,0.0,0,0,stable
Enterprise Architect,Engineering,75,safe,0.0,0,0,stable
Full-Stack AI Engineer,Engineering,75,safe,0.0,0,0,stable
Garbage Collection Engineer,Engineering,75,safe,0.0,0,0,stable
Language Runtime Engineer (CLR),Engineering,75,safe,0.0,0,0,stable
Memory Management Engineer,Engineering,75,safe,0.0,0,0,stable
Director of Product,Engineering Leadership,75,safe,0.0,0,0,stable
Bioinformatics Engineer,Data & AI,74,safe,0.0,0,0,stable
Fraud ML Engineer,Data & AI,74,safe,0.0,0,0,stable
Image Generation Engineer,Data & AI,74,safe,0.0,0,0,stable
JAX Specialist,Data & AI,74,safe,0.0,0,0,stable
Ray / Distributed ML Engineer,Data & AI,74,safe,0.0,0,0,stable
Search ML Engineer (Learning to Rank),Data & AI,74,safe,0.0,0,0,stable
Triton Inference Server Engineer,Data & AI,74,safe,0.0,0,0,stable
vLLM / SGLang Engineer,Data & AI,74,safe,0.0,0,0,stable
Embedded C Engineer,Engineering,74,safe,0.0,0,0,stable
Embedded C++ Engineer,Engineering,74,safe,0.0,0,0,stable
Embedded Linux Engineer,Engineering,74,safe,0.0,0,0,stable
FinTech Backend Engineer,Engineering,74,safe,0.0,0,0,stable
Firmware Engineer,Engineering,74,safe,0.0,0,0,stable
Healthcare Software Engineer,Engineering,74,safe,0.0,0,0,stable
ROS Engineer,Engineering,74,safe,0.0,0,0,stable
"RTOS Engineer (FreeRTOS, Zephyr)",Engineering,74,safe,0.0,0,0,stable
Reliability Engineer (Application),Engineering,74,safe,0.0,0,0,stable
Robotics Firmware Engineer,Engineering,74,safe,0.0,0,0,stable
Search Backend Engineer (Elasticsearch),Engineering,74,safe,0.0,0,0,stable
Software Modernization Engineer (Legacy → Cloud),Engineering,74,safe,0.0,0,0,stable
WebAssembly (WASM) Engineer,Engineering,74,safe,0.0,0,0,stable
AWS Data Engineer,Platform & Infrastructure,74,safe,0.0,0,0,stable
Azure AI Engineer,Platform & Infrastructure,74,safe,0.0,0,0,stable
Azure Solutions Architect,Platform & Infrastructure,74,safe,0.0,0,0,stable
Cloud Solutions Architect,Platform & Infrastructure,74,safe,0.0,0,0,stable
GCP Solutions Architect,Platform & Infrastructure,74,safe,0.0,0,0,stable
Kubernetes Operator Developer,Platform & Infrastructure,74,safe,0.0,0,0,stable
Lead DevOps Engineer,Platform & Infrastructure,74,safe,0.0,0,0,stable
Senior Database Engineer,Platform & Infrastructure,74,safe,0.0,0,0,stable
Senior DevOps Engineer,Platform & Infrastructure,74,safe,0.0,0,0,stable
Senior Design Engineer,Product & Design,74,safe,0.0,0,0,stable
API Security Engineer,Security,74,safe,0.0,0,0,stable
Container Security Engineer,Security,74,safe,0.0,0,0,stable
Network Security Engineer,Security,74,safe,0.0,0,0,stable
Open Source Security Engineer,Security,74,safe,0.0,0,0,stable
Pre-sales Solutions Architect,Specialized & Emerging,74,safe,0.0,0,0,stable
Senior Developer Experience Engineer,Specialized & Emerging,74,safe,0.0,0,0,stable
Weather / Atmospheric ML Engineer,Data & AI,73,safe,0.0,0,0,stable
Bitcoin Core Developer,Engineering,73,safe,0.0,0,0,stable
Browser Engine Engineer (WebKit),Engineering,73,safe,0.0,0,0,stable
Climate Tech Software Engineer,Engineering,73,safe,0.0,0,0,stable
Codec Engineer,Engineering,73,safe,0.0,0,0,stable
Domain-Driven Design Architect,Engineering,73,safe,0.0,0,0,stable
EDA Software Engineer,Engineering,73,safe,0.0,0,0,stable
Game Engine Programmer,Engineering,73,safe,0.0,0,0,stable
Programming Language Designer,Engineering,73,safe,0.0,0,0,stable
Quantum Algorithms Engineer,Engineering,73,safe,0.0,0,0,stable
Quantum Software Engineer,Engineering,73,safe,0.0,0,0,stable
Rendering Researcher,Engineering,73,safe,0.0,0,0,stable
Smart Contract Auditor,Engineering,73,safe,0.0,0,0,stable
Trading Infrastructure Engineer,Engineering,73,safe,0.0,0,0,stable
macOS / Darwin Engineer,Engineering,73,safe,0.0,0,0,stable
zk-SNARK Engineer,Engineering,73,safe,0.0,0,0,stable
zk-STARK Engineer,Engineering,73,safe,0.0,0,0,stable
API Product Manager,Product & Design,73,safe,0.0,0,0,stable
Data Product Manager,Product & Design,73,safe,0.0,0,0,stable
Enterprise Product Manager,Product & Design,73,safe,0.0,0,0,stable
GDPR / Privacy Compliance Engineer,Security,73,safe,0.0,0,0,stable
Pre-sales Engineer,Specialized & Emerging,73,safe,0.0,0,0,stable
Databricks Data Engineer,Data & AI,72,safe,0.0,0,0,stable
Hugging Face / Transformers Engineer,Data & AI,72,safe,0.0,0,0,stable
NLP Researcher,Data & AI,72,safe,0.0,0,0,stable
PyTorch Specialist,Data & AI,72,safe,0.0,0,0,stable
Real-time Data Engineer,Data & AI,72,safe,0.0,0,0,stable
Recommender Systems Engineer,Data & AI,72,safe,0.0,0,0,stable
Streaming Data Engineer,Data & AI,72,safe,0.0,0,0,stable
Voice AI Engineer,Data & AI,72,safe,0.0,0,0,stable
Backend API Engineer,Engineering,72,safe,0.0,0,0,stable
Python Backend Engineer,Engineering,72,safe,0.0,0,0,stable
AWS DevOps Engineer,Platform & Infrastructure,72,safe,0.0,0,0,stable
CI/CD Engineer,Platform & Infrastructure,72,safe,0.0,0,0,stable
Snowflake Engineer,Platform & Infrastructure,72,safe,0.0,0,0,stable
Vector Database Engineer (Pinecone/Weaviate),Platform & Infrastructure,72,safe,0.0,0,0,stable
Design Director,Product & Design,72,safe,0.0,0,0,stable
Design Engineer,Product & Design,72,safe,0.0,0,0,stable
Design Systems Engineer,Product & Design,72,safe,0.0,0,0,stable
Security QA Engineer,Quality & Testing,72,safe,0.0,0,0,stable
Test Architect,Quality & Testing,72,safe,0.0,0,0,stable
Bug Bounty Hunter,Security,72,safe,0.0,0,0,stable
Identity & Access Management Engineer,Security,72,safe,0.0,0,0,stable
Security Automation / SOAR Engineer,Security,72,safe,0.0,0,0,stable
Threat Hunter,Security,72,safe,0.0,0,0,stable
Web Application Pentester,Security,72,safe,0.0,0,0,stable
Audio ML Engineer,Data & AI,71,safe,0.0,0,0,stable
Principal Data Scientist,Data & AI,71,safe,0.0,0,0,stable
Quantitative Analyst,Data & AI,71,safe,0.0,0,0,stable
Speech Recognition Engineer,Data & AI,71,safe,0.0,0,0,stable
Speech Synthesis (TTS) Engineer,Data & AI,71,safe,0.0,0,0,stable
Audio DSP Engineer,Engineering,71,safe,0.0,0,0,stable
DFT (Design for Test) Engineer,Engineering,71,safe,0.0,0,0,stable
Drone Firmware Engineer,Engineering,71,safe,0.0,0,0,stable
Drone Software Engineer,Engineering,71,safe,0.0,0,0,stable
Energy / Smart Grid Engineer,Engineering,71,safe,0.0,0,0,stable
Game Anti-cheat Engineer,Engineering,71,safe,0.0,0,0,stable
Game Physics Programmer,Engineering,71,safe,0.0,0,0,stable
Idempotency / Retries Engineer,Engineering,71,safe,0.0,0,0,stable
Lightning Network Engineer,Engineering,71,safe,0.0,0,0,stable
Medical Imaging Software Engineer,Engineering,71,safe,0.0,0,0,stable
Microcontroller Programmer,Engineering,71,safe,0.0,0,0,stable
Real-time Communications Engineer (WebRTC),Engineering,71,safe,0.0,0,0,stable
Robotics Simulation Engineer,Engineering,71,safe,0.0,0,0,stable
Senior Smart Contract Engineer,Engineering,71,safe,0.0,0,0,stable
Service Mesh Architect,Engineering,71,safe,0.0,0,0,stable
Shader Programmer,Engineering,71,safe,0.0,0,0,stable
Staff Android Engineer,Engineering,71,safe,0.0,0,0,stable
Staff Full-Stack Engineer,Engineering,71,safe,0.0,0,0,stable
Staff iOS Engineer,Engineering,71,safe,0.0,0,0,stable
Static Analysis Engineer,Engineering,71,safe,0.0,0,0,stable
VHDL Engineer,Engineering,71,safe,0.0,0,0,stable
Video Encoding Engineer,Engineering,71,safe,0.0,0,0,stable
Head of Mobile,Engineering Leadership,71,safe,0.0,0,0,stable
Database Architect,Platform & Infrastructure,71,safe,0.0,0,0,stable
Senior Design Manager,Product & Design,71,safe,0.0,0,0,stable
Senior Design Systems Engineer,Product & Design,71,safe,0.0,0,0,stable
Embedded Security Engineer,Security,71,safe,0.0,0,0,stable
Fuzzing Engineer,Security,71,safe,0.0,0,0,stable
Hardware Pentester,Security,71,safe,0.0,0,0,stable
ICS / SCADA Security Engineer,Security,71,safe,0.0,0,0,stable
Malware Analyst,Security,71,safe,0.0,0,0,stable
Open Source Maintainer,Specialized & Emerging,71,safe,0.0,0,0,stable
AI Ethics Researcher,Data & AI,70,safe,0.0,0,0,stable
AI Workflow / Orchestration Engineer,Data & AI,70,safe,0.0,0,0,stable
Senior NLP Engineer,Data & AI,70,safe,0.0,0,0,stable
Compliance Software Engineer,Engineering,70,safe,0.0,0,0,stable
GCC Maintainer,Engineering,70,safe,0.0,0,0,stable
Chief Digital Officer,Engineering Leadership,70,safe,0.0,0,0,stable
Director of Design,Engineering Leadership,70,safe,0.0,0,0,stable
Engineering Chief of Staff,Engineering Leadership,70,safe,0.0,0,0,stable
Chaos Engineer,Platform & Infrastructure,70,safe,0.0,0,0,stable
Payments Product Manager,Product & Design,70,safe,0.0,0,0,stable
SOC Manager,Security,70,safe,0.0,0,0,stable
Vulnerability Management Engineer,Security,70,safe,0.0,0,0,stable
Anomaly Detection ML Engineer,Data & AI,69,stable,0.0,0,0,stable
Big Data Engineer,Data & AI,69,stable,0.0,0,0,stable
Data Lakehouse Engineer,Data & AI,69,stable,0.0,0,0,stable
