rank,role,category,score,tier,demand_trend
127,Language Runtime Engineer (V8),Engineering,80,safe,stable
127,Chief Information Officer (CIO),Engineering Leadership,80,safe,stable
127,Deputy CISO,Engineering Leadership,80,safe,rising
127,Head of Backend,Engineering Leadership,80,safe,stable
127,Group Product Manager,Product & Design,80,safe,stable
127,Platform Product Manager,Product & Design,80,safe,stable
127,DevSecOps Engineer,Security,80,safe,rising
127,Incident Response Engineer,Security,80,safe,rising
127,Forward Deployed Engineer,Specialized & Emerging,80,safe,rising
136,Computational Biology Engineer,Data & AI,79,safe,stable
136,Computer Vision Engineer,Data & AI,79,safe,stable
136,Diffusion Model Engineer,Data & AI,79,safe,rising
136,Fine-tuning Specialist,Data & AI,79,safe,rising
136,ML Platform Engineer,Data & AI,79,safe,rising
136,RL Researcher,Data & AI,79,safe,stable
136,RLHF Engineer,Data & AI,79,safe,rising
136,Reinforcement Learning Engineer,Data & AI,79,safe,stable
136,Senior Applied Scientist,Data & AI,79,safe,rising
136,Senior Data Engineer,Data & AI,79,safe,rising
136,Video Generation Engineer,Data & AI,79,safe,rising
136,Automotive Software Engineer (AUTOSAR),Engineering,79,safe,rising
136,Backend Performance Engineer,Engineering,79,safe,stable
136,Microservices Architect,Engineering,79,safe,stable
136,Performance Engineer,Engineering,79,safe,stable
136,Real-time Systems Engineer,Engineering,79,safe,stable
136,Robotics Software Engineer,Engineering,79,safe,rising
136,Semiconductor Engineer,Engineering,79,safe,rising
136,Senior Embedded Engineer,Engineering,79,safe,stable
136,Streaming Systems Engineer (Kafka),Engineering,79,safe,rising
136,Verification Engineer (RTL),Engineering,79,safe,stable
136,Production Engineer,Platform & Infrastructure,79,safe,stable
136,Senior Infrastructure Engineer,Platform & Infrastructure,79,safe,stable
136,Technical Product Manager,Product & Design,79,safe,stable
136,Cloud Pentester,Security,79,safe,rising
136,DFIR (Forensics & Incident Response),Security,79,safe,rising
136,Penetration Tester,Security,79,safe,stable
136,Supply Chain Security Engineer,Security,79,safe,rising
136,Zero Trust Architect,Security,79,safe,rising
136,Senior Solutions Architect,Specialized & Emerging,79,safe,stable
136,Solutions Architect,Specialized & Emerging,79,safe,stable
167,Distributed Training Engineer,Data & AI,78,safe,rising
167,Browser Engine Engineer (Chromium),Engineering,78,safe,stable
167,Cleared Defense Software Engineer (TS/SCI),Engineering,78,safe,rising
167,Compiler Engineer,Engineering,78,safe,stable
167,"Container Runtime Engineer (containerd, runc)",Engineering,78,safe,stable
167,Defense Software Engineer,Engineering,78,safe,rising
167,Humanoid Robotics Engineer,Engineering,78,safe,rising
167,Hypervisor / Virtualization Engineer,Engineering,78,safe,stable
167,LLVM Engineer,Engineering,78,safe,stable
167,Language Runtime Engineer (JVM),Engineering,78,safe,stable
167,Linux Kernel Developer,Engineering,78,safe,stable
167,Satellite Software Engineer,Engineering,78,safe,rising
167,Senior Rendering Engineer,Engineering,78,safe,stable
167,TPU / NPU Hardware Engineer,Engineering,78,safe,rising
167,Trading Systems Engineer,Engineering,78,safe,stable
167,Windows Kernel / Driver Developer,Engineering,78,safe,stable
167,Zero-Knowledge Proof Engineer,Engineering,78,safe,rising
167,Senior Product Manager,Product & Design,78,safe,stable
167,Privacy Engineer,Security,78,safe,rising
186,Applied ML Engineer,Data & AI,77,safe,rising
186,Data Platform Engineer,Data & AI,77,safe,rising
186,Go Backend Engineer,Engineering,77,safe,rising
186,Senior Backend Engineer,Engineering,77,safe,stable
186,AWS Security Specialist,Platform & Infrastructure,77,safe,rising
186,AWS Solutions Architect,Platform & Infrastructure,77,safe,stable
186,Cloud Architect,Platform & Infrastructure,77,safe,stable
186,Databricks Engineer,Platform & Infrastructure,77,safe,rising
186,Infrastructure Engineer,Platform & Infrastructure,77,safe,stable
186,Observability Engineer,Platform & Infrastructure,77,safe,rising
186,Senior Sales Engineer,Specialized & Emerging,77,safe,rising
186,Senior Solutions Engineer,Specialized & Emerging,77,safe,rising
198,3D Vision Engineer,Data & AI,76,safe,rising
198,AI Sales Engineer,Data & AI,76,safe,rising
198,Applied Scientist,Data & AI,76,safe,rising
198,Climate Modeling Engineer,Data & AI,76,safe,rising
198,Data Infrastructure Engineer,Data & AI,76,safe,rising
198,ML Benchmark / Eval Researcher,Data & AI,76,safe,rising
198,ML Compiler Engineer (TVM/XLA),Data & AI,76,safe,rising
198,ML Reliability Engineer,Data & AI,76,safe,rising
198,Protein Structure Prediction Engineer,Data & AI,76,safe,rising
198,Aerospace Software Engineer,Engineering,76,safe,stable
198,Analog Design Engineer,Engineering,76,safe,stable
198,Bare Metal / Firmware-near Engineer,Engineering,76,safe,stable
198,Blockchain Protocol Engineer,Engineering,76,safe,stable
198,Computational Photography Engineer,Engineering,76,safe,stable
198,DSP Engineer (Digital Signal Processing),Engineering,76,safe,stable
198,Digital Design Engineer,Engineering,76,safe,stable
198,DirectX Engineer,Engineering,76,safe,stable
198,Embedded Systems Architect,Engineering,76,safe,stable
198,Event-Driven Architecture Engineer,Engineering,76,safe,stable
198,FPGA Design Engineer,Engineering,76,safe,stable
198,FPGA Software Engineer,Engineering,76,safe,stable
198,Game Rendering / Graphics Programmer,Engineering,76,safe,stable
198,Graphics / Rendering Engineer,Engineering,76,safe,stable
198,Layer 2 / Rollup Engineer,Engineering,76,safe,stable
198,Medical Device Firmware Engineer,Engineering,76,safe,stable
198,Metal Engineer (Apple),Engineering,76,safe,stable
198,Mixed-signal Design Engineer,Engineering,76,safe,stable
198,Physical Design Engineer,Engineering,76,safe,stable
198,RTL Designer,Engineering,76,safe,stable
198,Real-time Ray Tracing Engineer,Engineering,76,safe,rising
198,Risk Engineer (Financial),Engineering,76,safe,stable
198,Robotic Manipulation Engineer,Engineering,76,safe,rising
198,Senior Firmware Engineer,Engineering,76,safe,stable
198,Space / Orbital Software Engineer,Engineering,76,safe,rising
198,SystemVerilog Engineer,Engineering,76,safe,stable
198,VLSI Engineer,Engineering,76,safe,stable
198,Verilog Engineer,Engineering,76,safe,stable
198,Video Codec Engineer,Engineering,76,safe,stable
198,Vulkan Engineer,Engineering,76,safe,stable
198,Automotive Security Engineer,Security,76,safe,rising
198,Cryptographic Protocol Engineer,Security,76,safe,stable
198,Differential Privacy Engineer,Security,76,safe,rising
198,Exploit Developer,Security,76,safe,stable
198,GRC / Compliance Engineer,Security,76,safe,rising
198,Hardware Security Engineer,Security,76,safe,stable
198,Kubernetes Security Engineer,Security,76,safe,rising
198,Reverse Engineer,Security,76,safe,stable
198,Sales Engineer,Specialized & Emerging,76,safe,rising
198,Solutions Engineer,Specialized & Emerging,76,safe,rising
247,AI Solutions Engineer,Data & AI,75,safe,rising
247,Applied AI Engineer,Data & AI,75,safe,rising
247,Generative AI Engineer,Data & AI,75,safe,rising
247,RAG (Retrieval-Augmented Generation) Engineer,Data & AI,75,safe,rising
247,Enterprise Architect,Engineering,75,safe,stable
247,Full-Stack AI Engineer,Engineering,75,safe,rising
247,Garbage Collection Engineer,Engineering,75,safe,stable
247,Language Runtime Engineer (CLR),Engineering,75,safe,stable
247,Memory Management Engineer,Engineering,75,safe,stable
247,Director of Product,Engineering Leadership,75,safe,stable
247,Developer Experience Engineer,Specialized & Emerging,75,safe,rising
258,Bioinformatics Engineer,Data & AI,74,safe,stable
258,Fraud ML Engineer,Data & AI,74,safe,rising
258,Image Generation Engineer,Data & AI,74,safe,rising
258,JAX Specialist,Data & AI,74,safe,rising
258,Ray / Distributed ML Engineer,Data & AI,74,safe,rising
258,Search ML Engineer (Learning to Rank),Data & AI,74,safe,stable
258,Triton Inference Server Engineer,Data & AI,74,safe,rising
258,vLLM / SGLang Engineer,Data & AI,74,safe,rising
258,Embedded C Engineer,Engineering,74,safe,stable
258,Embedded C++ Engineer,Engineering,74,safe,stable
258,Embedded Engineer,Engineering,74,safe,stable
258,Embedded Linux Engineer,Engineering,74,safe,stable
258,FinTech Backend Engineer,Engineering,74,safe,stable
258,Firmware Engineer,Engineering,74,safe,stable
258,Healthcare Software Engineer,Engineering,74,safe,rising
258,ROS Engineer,Engineering,74,safe,rising
258,"RTOS Engineer (FreeRTOS, Zephyr)",Engineering,74,safe,stable
258,Reliability Engineer (Application),Engineering,74,safe,stable
258,Robotics Firmware Engineer,Engineering,74,safe,rising
258,Search Backend Engineer (Elasticsearch),Engineering,74,safe,stable
258,Software Modernization Engineer (Legacy → Cloud),Engineering,74,safe,rising
258,WebAssembly (WASM) Engineer,Engineering,74,safe,rising
258,AWS Data Engineer,Platform & Infrastructure,74,safe,stable
258,Azure AI Engineer,Platform & Infrastructure,74,safe,rising
258,Azure Solutions Architect,Platform & Infrastructure,74,safe,stable
258,Cloud Solutions Architect,Platform & Infrastructure,74,safe,stable
258,GCP Solutions Architect,Platform & Infrastructure,74,safe,stable
258,Kubernetes Operator Developer,Platform & Infrastructure,74,safe,stable
258,Lead DevOps Engineer,Platform & Infrastructure,74,safe,stable
258,Senior Database Engineer,Platform & Infrastructure,74,safe,stable
258,Senior DevOps Engineer,Platform & Infrastructure,74,safe,stable
258,Senior Design Engineer,Product & Design,74,safe,rising
258,API Security Engineer,Security,74,safe,rising
258,Container Security Engineer,Security,74,safe,rising
258,Network Security Engineer,Security,74,safe,stable
258,Open Source Security Engineer,Security,74,safe,rising
258,Pre-sales Solutions Architect,Specialized & Emerging,74,safe,stable
258,Senior Developer Experience Engineer,Specialized & Emerging,74,safe,rising
296,AI Application Engineer,Data & AI,73,safe,rising
296,Weather / Atmospheric ML Engineer,Data & AI,73,safe,stable
296,Bitcoin Core Developer,Engineering,73,safe,stable
296,Browser Engine Engineer (WebKit),Engineering,73,safe,stable
296,Climate Tech Software Engineer,Engineering,73,safe,rising
296,Codec Engineer,Engineering,73,safe,stable
296,Domain-Driven Design Architect,Engineering,73,safe,stable
296,EDA Software Engineer,Engineering,73,safe,stable
296,Game Engine Programmer,Engineering,73,safe,stable
296,Programming Language Designer,Engineering,73,safe,stable
296,Quantum Algorithms Engineer,Engineering,73,safe,rising
296,Quantum Software Engineer,Engineering,73,safe,rising
296,Rendering Researcher,Engineering,73,safe,stable
296,Smart Contract Auditor,Engineering,73,safe,stable
296,Trading Infrastructure Engineer,Engineering,73,safe,stable
296,macOS / Darwin Engineer,Engineering,73,safe,stable
296,zk-SNARK Engineer,Engineering,73,safe,rising
296,zk-STARK Engineer,Engineering,73,safe,rising
296,API Product Manager,Product & Design,73,safe,rising
296,Data Product Manager,Product & Design,73,safe,rising
296,Enterprise Product Manager,Product & Design,73,safe,stable
296,Product Manager,Product & Design,73,safe,stable
296,GDPR / Privacy Compliance Engineer,Security,73,safe,rising
296,Pre-sales Engineer,Specialized & Emerging,73,safe,stable
296,Principal Software Engineer,Engineering,73,safe,stable
321,Databricks Data Engineer,Data & AI,72,safe,rising
321,Hugging Face / Transformers Engineer,Data & AI,72,safe,rising
321,NLP Researcher,Data & AI,72,safe,stable
321,PyTorch Specialist,Data & AI,72,safe,rising
321,Real-time Data Engineer,Data & AI,72,safe,rising
321,Recommender Systems Engineer,Data & AI,72,safe,stable
321,Streaming Data Engineer,Data & AI,72,safe,rising
321,Voice AI Engineer,Data & AI,72,safe,rising
321,Backend API Engineer,Engineering,72,safe,stable
321,Backend Engineer,Engineering,72,safe,stable
321,Python Backend Engineer,Engineering,72,safe,rising
321,AWS DevOps Engineer,Platform & Infrastructure,72,safe,stable
321,CI/CD Engineer,Platform & Infrastructure,72,safe,stable
321,DevOps Engineer,Platform & Infrastructure,72,safe,stable
321,Snowflake Engineer,Platform & Infrastructure,72,safe,rising
321,Vector Database Engineer (Pinecone/Weaviate),Platform & Infrastructure,72,safe,rising
321,Design Director,Product & Design,72,safe,stable
321,Design Engineer,Product & Design,72,safe,rising
321,Design Systems Engineer,Product & Design,72,safe,stable
321,Security QA Engineer,Quality & Testing,72,safe,rising
321,Test Architect,Quality & Testing,72,safe,stable
321,Bug Bounty Hunter,Security,72,safe,stable
321,Identity & Access Management Engineer,Security,72,safe,stable
321,Security Automation / SOAR Engineer,Security,72,safe,rising
321,Threat Hunter,Security,72,safe,rising
321,Web Application Pentester,Security,72,safe,stable
347,Audio ML Engineer,Data & AI,71,safe,stable
347,Principal Data Scientist,Data & AI,71,safe,stable
347,Quantitative Analyst,Data & AI,71,safe,stable
347,Speech Recognition Engineer,Data & AI,71,safe,stable
347,Speech Synthesis (TTS) Engineer,Data & AI,71,safe,rising
347,Audio DSP Engineer,Engineering,71,safe,stable
347,DFT (Design for Test) Engineer,Engineering,71,safe,stable
347,Drone Firmware Engineer,Engineering,71,safe,stable
347,Drone Software Engineer,Engineering,71,safe,rising
347,Energy / Smart Grid Engineer,Engineering,71,safe,rising
347,Game Anti-cheat Engineer,Engineering,71,safe,rising
347,Game Physics Programmer,Engineering,71,safe,stable
347,Idempotency / Retries Engineer,Engineering,71,safe,stable
347,Lightning Network Engineer,Engineering,71,safe,stable
347,Medical Imaging Software Engineer,Engineering,71,safe,stable
347,Microcontroller Programmer,Engineering,71,safe,stable
347,Real-time Communications Engineer (WebRTC),Engineering,71,safe,stable
347,Robotics Simulation Engineer,Engineering,71,safe,stable
347,Senior Smart Contract Engineer,Engineering,71,safe,stable
347,Service Mesh Architect,Engineering,71,safe,stable
347,Shader Programmer,Engineering,71,safe,stable
347,Staff Android Engineer,Engineering,71,safe,stable
347,Staff Full-Stack Engineer,Engineering,71,safe,stable
347,Staff iOS Engineer,Engineering,71,safe,stable
347,Static Analysis Engineer,Engineering,71,safe,stable
347,VHDL Engineer,Engineering,71,safe,stable
347,Video Encoding Engineer,Engineering,71,safe,stable
347,Head of Mobile,Engineering Leadership,71,safe,stable
347,Database Architect,Platform & Infrastructure,71,safe,stable
347,Senior Design Manager,Product & Design,71,safe,stable
347,Senior Design Systems Engineer,Product & Design,71,safe,stable
347,Embedded Security Engineer,Security,71,safe,rising
347,Fuzzing Engineer,Security,71,safe,stable
347,Hardware Pentester,Security,71,safe,stable
347,ICS / SCADA Security Engineer,Security,71,safe,rising
347,Malware Analyst,Security,71,safe,stable
347,Open Source Maintainer,Specialized & Emerging,71,safe,stable
347,Staff Software Engineer,Engineering,71,safe,stable
385,AI Ethics Researcher,Data & AI,70,safe,stable
385,AI Workflow / Orchestration Engineer,Data & AI,70,safe,rising
385,Senior NLP Engineer,Data & AI,70,safe,stable
385,Compliance Software Engineer,Engineering,70,safe,stable
385,GCC Maintainer,Engineering,70,safe,stable
385,Chief Digital Officer,Engineering Leadership,70,safe,stable
385,Director of Design,Engineering Leadership,70,safe,stable
385,Engineering Chief of Staff,Engineering Leadership,70,safe,stable
385,Chaos Engineer,Platform & Infrastructure,70,safe,stable
385,Payments Product Manager,Product & Design,70,safe,stable
385,SOC Manager,Security,70,safe,stable
385,Vulnerability Management Engineer,Security,70,safe,stable
397,Anomaly Detection ML Engineer,Data & AI,69,stable,stable
397,Big Data Engineer,Data & AI,69,stable,stable
397,Data Lakehouse Engineer,Data & AI,69,stable,rising
397,Data Reliability Engineer,Data & AI,69,stable,stable
397,Embedding Engineer,Data & AI,69,stable,rising
397,Feature Store Engineer,Data & AI,69,stable,rising
397,Genomics Pipeline Engineer,Data & AI,69,stable,stable
397,Iceberg / Delta / Hudi Engineer,Data & AI,69,stable,rising
397,Kafka Streams Engineer,Data & AI,69,stable,stable
397,ML Tooling Engineer (Ray/Dask),Data & AI,69,stable,rising
397,Model Deployment Engineer,Data & AI,69,stable,rising
397,Model Monitoring Engineer,Data & AI,69,stable,rising
397,Spark Engineer,Data & AI,69,stable,stable
397,Synthetic Data Engineer,Data & AI,69,stable,rising
397,Time Series ML Engineer,Data & AI,69,stable,stable
397,Vector Search Engineer,Data & AI,69,stable,rising
397,Application Architect,Engineering,69,stable,stable
397,Backend Caching Engineer,Engineering,69,stable,stable
397,Developer Tools Engineer,Engineering,69,stable,stable
397,Edge Runtime Engineer (Cloudflare Workers/Deno Deploy),Engineering,69,stable,rising
397,Game AI Programmer,Engineering,69,stable,rising
397,HL7 / FHIR Integration Engineer,Engineering,69,stable,stable
397,Hardware Validation Engineer,Engineering,69,stable,stable
397,Industrial Control / PLC Engineer,Engineering,69,stable,stable
397,Industrial Robotics Programmer,Engineering,69,stable,stable
397,IoT Edge Engineer,Engineering,69,stable,rising
397,Mobile Performance Engineer,Engineering,69,stable,stable
397,Pricing / Monetization Engineer,Engineering,69,stable,stable
397,Refactoring / Modernization Engineer,Engineering,69,stable,stable
397,Rust Smart Contract Engineer (Solana),Engineering,69,stable,stable
397,Senior Android Engineer,Engineering,69,stable,stable
397,Senior iOS Engineer,Engineering,69,stable,stable
397,Streaming Media Engineer,Engineering,69,stable,stable
397,Workflow Engine Engineer (Temporal/Cadence),Engineering,69,stable,rising
397,Yocto / Buildroot Engineer,Engineering,69,stable,stable
397,gRPC / Protobuf Engineer,Engineering,69,stable,stable
397,Backstage Engineer,Platform & Infrastructure,69,stable,rising
397,ClickHouse Engineer,Platform & Infrastructure,69,stable,rising
397,Database Engineer / DBA,Platform & Infrastructure,69,stable,stable
397,Database Reliability Engineer,Platform & Infrastructure,69,stable,stable
397,Edge Computing Engineer,Platform & Infrastructure,69,stable,stable
397,GCP Data Engineer,Platform & Infrastructure,69,stable,stable
397,Multi-cloud Architect,Platform & Infrastructure,69,stable,stable
397,Network Architect,Platform & Infrastructure,69,stable,stable
397,PostgreSQL DBA,Platform & Infrastructure,69,stable,rising
397,Service Mesh Engineer (Istio/Linkerd),Platform & Infrastructure,69,stable,stable
397,Tracing Engineer (OpenTelemetry/Jaeger),Platform & Infrastructure,69,stable,rising
397,Growth Product Manager,Product & Design,69,stable,stable
397,Senior Product Designer,Product & Design,69,stable,stable
397,Senior UX Researcher,Product & Design,69,stable,stable
397,Staff Product Designer,Product & Design,69,stable,stable
397,Performance / Load Test Engineer,Quality & Testing,69,stable,stable
397,Staff SDET,Quality & Testing,69,stable,stable
397,Linux Security Engineer,Security,69,stable,stable
397,Mobile Application Pentester,Security,69,stable,stable
397,Mobile Security Engineer,Security,69,stable,rising
397,Network Pentester,Security,69,stable,stable
397,Experimentation Platform Engineer,Specialized & Emerging,69,stable,rising
397,Salesforce Architect,Specialized & Emerging,69,stable,stable
397,Senior Developer Advocate,Specialized & Emerging,69,stable,stable
457,AI Curriculum / Training Lead,Data & AI,68,stable,rising
457,Causal Inference Scientist,Data & AI,68,stable,stable
457,BCI (Brain-Computer Interface) Engineer,Engineering,68,stable,rising
457,BSD Kernel Engineer,Engineering,68,stable,stable
457,Browser Engine Engineer (Gecko/Firefox),Engineering,68,stable,stable
457,Erlang Engineer,Engineering,68,stable,stable
457,Event Sourcing / CQRS Engineer,Engineering,68,stable,stable
457,MEV Engineer / Searcher,Engineering,68,stable,stable
457,Photonics Software Engineer,Engineering,68,stable,stable
457,Quantum Compiler Engineer,Engineering,68,stable,stable
457,Scala Backend Engineer,Engineering,68,stable,declining
457,Search Backend Engineer (Vespa),Engineering,68,stable,stable
457,Design Manager,Product & Design,68,stable,stable
457,Principal Product Designer,Product & Design,68,stable,stable
457,Blockchain Security Auditor,Security,68,stable,stable
457,Foundation Engineer (CNCF/Apache),Specialized & Emerging,68,stable,stable
457,Senior Implementation Engineer,Specialized & Emerging,68,stable,stable
457,Standards Engineer (W3C/IETF),Specialized & Emerging,68,stable,stable
475,AI Tooling Engineer,Data & AI,67,stable,rising
475,Conversational AI Engineer,Data & AI,67,stable,rising
475,Data Pipeline Engineer,Data & AI,67,stable,stable
475,LangGraph / Agent Framework Engineer,Data & AI,67,stable,rising
475,SageMaker Engineer,Data & AI,67,stable,rising
475,Snowflake Data Engineer,Data & AI,67,stable,rising
475,FastAPI Engineer,Engineering,67,stable,rising
475,Java Backend Engineer,Engineering,67,stable,stable
475,Java Spring / Spring Boot Engineer,Engineering,67,stable,stable
475,Job Scheduler Engineer (Airflow/Prefect),Engineering,67,stable,stable
475,Kotlin Backend Engineer,Engineering,67,stable,rising
475,Senior Full-Stack Engineer,Engineering,67,stable,stable
475,Senior Game Engineer,Engineering,67,stable,stable
475,AWS Engineer,Platform & Infrastructure,67,stable,stable
475,Azure DevOps Engineer,Platform & Infrastructure,67,stable,stable
475,BigQuery Engineer,Platform & Infrastructure,67,stable,stable
475,Cloud Engineer,Platform & Infrastructure,67,stable,declining
475,Disaster Recovery Engineer,Platform & Infrastructure,67,stable,stable
475,Identity Engineer (Corp IT — Okta/Azure AD),Platform & Infrastructure,67,stable,rising
475,Monitoring Engineer (Prometheus/Grafana),Platform & Infrastructure,67,stable,stable
475,Redis Engineer,Platform & Infrastructure,67,stable,stable
475,UX Designer / Researcher,Product & Design,67,stable,stable
475,Senior SDET,Quality & Testing,67,stable,stable
475,Endpoint Security Engineer,Security,67,stable,stable
475,SOC Analyst (Tier 3),Security,67,stable,stable
475,Security Operations Engineer,Security,67,stable,stable
