role,category,tc_low_canonical_usd,tc_high_canonical_usd,tc_low_glassdoor_simulated_usd,tc_high_glassdoor_simulated_usd,base_low_glassdoor_simulated_usd,base_high_glassdoor_simulated_usd,sample_size_simulated,levels_fyi_anchor_role,levels_fyi_anchor_median_usd
MLOps Engineer,Data & AI,130000,340000,130000,340000,160000,270000,860,,
Senior ML Engineer,Data & AI,180000,450000,,,,,,,
SVP of Engineering,Engineering Leadership,280000,900000,,,,,,,
Platform Engineer,Platform & Infrastructure,130000,360000,130000,360000,160000,270000,1320,,
AI / ML Security Engineer,Security,150000,400000,,,,,,,
AI Red Team Engineer,Security,150000,400000,,,,,,,
Application Security Engineer,Security,130000,360000,130000,360000,150000,260000,940,,
Cloud Security Engineer,Security,130000,340000,130000,340000,150000,250000,820,,
Security Architect,Security,150000,400000,,,,,,,
Senior Application Security Engineer,Security,160000,400000,,,,,,,
Senior Cloud Security Engineer,Security,160000,400000,,,,,,,
ML Research Engineer,Data & AI,180000,600000,,,,,,,
Pretraining Engineer,Data & AI,220000,800000,,,,,,,
Principal ML Engineer,Data & AI,280000,700000,,,,,,,
Autonomous Vehicle Software Engineer,Engineering,160000,450000,,,,,,,
Distributed Systems Engineer,Engineering,160000,480000,,,,,,,
GPU Engineer,Engineering,180000,500000,,,,,,,
Self-Driving Perception Engineer,Engineering,170000,480000,,,,,,,
Self-Driving Planning Engineer,Engineering,170000,480000,,,,,,,
Triton (GPU) Kernel Engineer,Engineering,180000,500000,,,,,,,
Director of AI / ML,Engineering Leadership,220000,600000,,,,,,,
VP of Product Engineering,Engineering Leadership,230000,700000,,,,,,,
Staff Platform Engineer,Platform & Infrastructure,200000,500000,,,,,,,
Staff SRE,Platform & Infrastructure,200000,500000,,,,,,,
AI Forward Deployed Engineer,Data & AI,160000,450000,,,,,,,
Senior AI Agent Engineer,Data & AI,180000,480000,,,,,,,
Distinguished Engineer,Engineering Leadership,300000,1000000,,,,,,,
VP of Product,Engineering Leadership,230000,650000,,,,,,,
Multimodal AI Engineer,Data & AI,160000,450000,,,,,,,
Quantitative Developer,Data & AI,150000,600000,,,,,,,
Red-team AI Engineer (Model Safety),Data & AI,160000,450000,,,,,,,
Senior MLOps Engineer,Data & AI,160000,400000,,,,,,,
Chief Data Officer (CDO),Engineering Leadership,250000,700000,,,,,,,
Director of Engineering,Engineering Leadership,200000,500000,,,,,,,
Group Engineering Manager,Engineering Leadership,200000,450000,,,,,,,
Senior Engineering Manager,Engineering Leadership,180000,450000,,,,,,,
VP of Data,Engineering Leadership,230000,650000,,,,,,,
Internal Developer Platform (IDP) Engineer,Platform & Infrastructure,150000,380000,,,,,,,
Senior Platform Engineer,Platform & Infrastructure,160000,400000,,,,,,,
Senior SRE,Platform & Infrastructure,160000,400000,,,,,,,
Site Reliability Engineer,Platform & Infrastructure,130000,350000,130000,350000,160000,260000,1480,,
Cloud Security Architect,Security,160000,400000,,,,,,,
Offensive Security / Red Team,Security,120000,330000,120000,330000,140000,240000,310,,
Product Security Engineer,Security,140000,360000,,,,,,,
Senior Forward Deployed Engineer,Specialized & Emerging,180000,480000,,,,,,,
Senior TPM,Specialized & Emerging,180000,450000,,,,,,,
AI Agent Engineer,Data & AI,150000,400000,,,,,,,
Principal Data Engineer,Data & AI,220000,550000,,,,,,,
Principal Backend Engineer,Engineering,230000,600000,,,,,,,
Engineering Manager,Engineering Leadership,160000,400000,160000,400000,170000,280000,1620,,
Senior Technical PM,Product & Design,160000,400000,,,,,,,
Technical Program Manager,Specialized & Emerging,150000,380000,,,,,,,
AI Evaluations Engineer,Data & AI,150000,400000,,,,,,,
AI Product Manager,Data & AI,160000,450000,,,,,,,
Data Engineer,Data & AI,110000,310000,110000,310000,140000,240000,1850,,
ML Infrastructure Engineer,Data & AI,170000,420000,,,,,,,
Senior Computer Vision Engineer,Data & AI,160000,400000,,,,,,,
Rust Backend Engineer,Engineering,130000,380000,,,,,,,
Chief Product Officer,Engineering Leadership,250000,700000,,,,,,,
Fellow Engineer,Engineering Leadership,350000,1200000,,,,,,,
Tech Lead Manager,Engineering Leadership,180000,400000,,,,,,,
Kubernetes / Container Platform Engineer,Platform & Infrastructure,130000,340000,,,,,,,
Senior Kubernetes Engineer,Platform & Infrastructure,150000,380000,,,,,,,
Senior IR Engineer,Security,150000,360000,,,,,,,
AI Interpretability Researcher,Data & AI,180000,600000,,,,,,,
Algorithmic Trading Engineer,Data & AI,180000,700000,,,,,,,
Computer Vision Researcher,Data & AI,170000,450000,,,,,,,
Drug Discovery ML Engineer,Data & AI,140000,380000,,,,,,,
HFT Engineer (High-Frequency Trading),Data & AI,200000,1000000,,,,,,,
Quantitative Researcher,Data & AI,200000,800000,,,,,,,
Research Scientist,Data & AI,160000,500000,,,,,,,
Staff Data Engineer,Data & AI,180000,450000,,,,,,,
Vision-Language Model Engineer,Data & AI,160000,450000,,,,,,,
AI Accelerator Hardware Engineer,Engineering,180000,500000,,,,,,,
ASIC Design Engineer,Engineering,140000,400000,,,,,,,
Aerospace Embedded Engineer,Engineering,120000,320000,,,,,,,
C++ Backend / Server Engineer,Engineering,130000,360000,,,,,,,
Chip Design Engineer,Engineering,150000,420000,,,,,,,
Defense Embedded Engineer,Engineering,120000,320000,,,,,,,
Path Planning Engineer,Engineering,150000,420000,,,,,,,
SLAM Engineer,Engineering,150000,420000,,,,,,,
Self-Driving Controls Engineer,Engineering,160000,450000,,,,,,,
Senior Systems Engineer,Engineering,150000,400000,,,,,,,
Software Architect,Engineering,160000,400000,,,,,,,
Staff Backend Engineer,Engineering,200000,500000,,,,,,,
Systems / Low-level Engineer,Engineering,110000,350000,110000,350000,160000,280000,460,,
Director of Data,Engineering Leadership,200000,500000,,,,,,,
Director of Infrastructure,Engineering Leadership,200000,500000,,,,,,,
Director of Platform,Engineering Leadership,200000,500000,,,,,,,
Director of Security,Engineering Leadership,200000,500000,,,,,,,
Head of DevOps / SRE,Engineering Leadership,190000,450000,,,,,,,
Head of Engineering,Engineering Leadership,200000,500000,,,,,,,
Senior Director of Engineering,Engineering Leadership,220000,550000,,,,,,,
Principal Product Manager,Product & Design,220000,550000,,,,,,,
Application Security Architect,Security,150000,380000,,,,,,,
Cryptography Engineer,Security,140000,380000,,,,,,,
Security Researcher,Security,130000,400000,,,,,,,
Vulnerability Researcher,Security,130000,400000,,,,,,,
Principal TPM,Specialized & Emerging,220000,500000,,,,,,,
Language Runtime Engineer (V8),Engineering,170000,480000,,,,,,,
Chief Information Officer (CIO),Engineering Leadership,250000,700000,,,,,,,
Deputy CISO,Engineering Leadership,180000,450000,,,,,,,
Head of Backend,Engineering Leadership,190000,450000,,,,,,,
Group Product Manager,Product & Design,180000,450000,,,,,,,
Platform Product Manager,Product & Design,160000,400000,,,,,,,
DevSecOps Engineer,Security,120000,310000,,,,,,,
Incident Response Engineer,Security,120000,310000,,,,,,,
Forward Deployed Engineer,Specialized & Emerging,140000,400000,,,,,,,
Computational Biology Engineer,Data & AI,110000,300000,,,,,,,
Computer Vision Engineer,Data & AI,130000,360000,,,,,,,
Diffusion Model Engineer,Data & AI,150000,420000,,,,,,,
Fine-tuning Specialist,Data & AI,150000,400000,,,,,,,
ML Platform Engineer,Data & AI,160000,400000,,,,,,,
RL Researcher,Data & AI,160000,450000,,,,,,,
RLHF Engineer,Data & AI,160000,450000,,,,,,,
Reinforcement Learning Engineer,Data & AI,140000,400000,,,,,,,
Senior Applied Scientist,Data & AI,180000,480000,,,,,,,
Senior Data Engineer,Data & AI,140000,340000,,,,,,,
Video Generation Engineer,Data & AI,150000,420000,,,,,,,
Automotive Software Engineer (AUTOSAR),Engineering,110000,290000,,,,,,,
Backend Performance Engineer,Engineering,140000,360000,,,,,,,
Microservices Architect,Engineering,160000,400000,,,,,,,
Performance Engineer,Engineering,120000,330000,,,,,,,
Real-time Systems Engineer,Engineering,140000,400000,,,,,,,
Robotics Software Engineer,Engineering,120000,330000,,,,,,,
Semiconductor Engineer,Engineering,130000,360000,,,,,,,
Senior Embedded Engineer,Engineering,120000,300000,,,,,,,
Streaming Systems Engineer (Kafka),Engineering,140000,380000,,,,,,,
Verification Engineer (RTL),Engineering,130000,360000,,,,,,,
Production Engineer,Platform & Infrastructure,140000,360000,,,,,,,
Senior Infrastructure Engineer,Platform & Infrastructure,150000,360000,,,,,,,
Technical Product Manager,Product & Design,130000,340000,130000,340000,160000,260000,1280,,
Cloud Pentester,Security,120000,300000,,,,,,,
DFIR (Forensics & Incident Response),Security,120000,320000,,,,,,,
Penetration Tester,Security,100000,280000,,,,,,,
Supply Chain Security Engineer,Security,140000,360000,,,,,,,
Zero Trust Architect,Security,150000,380000,,,,,,,
Senior Solutions Architect,Specialized & Emerging,170000,400000,,,,,,,
Solutions Architect,Specialized & Emerging,140000,340000,140000,340000,160000,260000,1240,,
Distributed Training Engineer,Data & AI,170000,480000,,,,,,,
Browser Engine Engineer (Chromium),Engineering,180000,500000,,,,,,,
Cleared Defense Software Engineer (TS/SCI),Engineering,130000,320000,,,,,,,
Compiler Engineer,Engineering,140000,400000,,,,,,,
"Container Runtime Engineer (containerd, runc)",Engineering,150000,410000,,,,,,,
Defense Software Engineer,Engineering,120000,300000,,,,,,,
Humanoid Robotics Engineer,Engineering,160000,450000,,,,,,,
Hypervisor / Virtualization Engineer,Engineering,150000,420000,,,,,,,
LLVM Engineer,Engineering,150000,420000,,,,,,,
Language Runtime Engineer (JVM),Engineering,160000,450000,,,,,,,
Linux Kernel Developer,Engineering,150000,420000,,,,,,,
Satellite Software Engineer,Engineering,130000,360000,,,,,,,
Senior Rendering Engineer,Engineering,160000,420000,,,,,,,
TPU / NPU Hardware Engineer,Engineering,180000,500000,,,,,,,
Trading Systems Engineer,Engineering,160000,500000,,,,,,,
Windows Kernel / Driver Developer,Engineering,140000,400000,,,,,,,
Zero-Knowledge Proof Engineer,Engineering,160000,480000,,,,,,,
Senior Product Manager,Product & Design,150000,360000,,,,,,,
Privacy Engineer,Security,130000,320000,,,,,,,
Applied ML Engineer,Data & AI,140000,360000,,,,,,,
Data Platform Engineer,Data & AI,140000,340000,,,,,,,
Go Backend Engineer,Engineering,120000,320000,,,,,,,
Senior Backend Engineer,Engineering,140000,320000,,,,,,,
AWS Security Specialist,Platform & Infrastructure,130000,340000,,,,,,,
AWS Solutions Architect,Platform & Infrastructure,140000,350000,,,,,,,
Cloud Architect,Platform & Infrastructure,150000,360000,,,,,,,
Databricks Engineer,Platform & Infrastructure,140000,340000,,,,,,,
Infrastructure Engineer,Platform & Infrastructure,120000,310000,,,,,,,
Observability Engineer,Platform & Infrastructure,120000,320000,,,,,,,
Senior Sales Engineer,Specialized & Emerging,160000,400000,,,,,,,
Senior Solutions Engineer,Specialized & Emerging,150000,380000,,,,,,,
3D Vision Engineer,Data & AI,150000,400000,,,,,,,
AI Sales Engineer,Data & AI,140000,380000,,,,,,,
Applied Scientist,Data & AI,150000,380000,,,,,,,
Climate Modeling Engineer,Data & AI,120000,320000,,,,,,,
Data Infrastructure Engineer,Data & AI,140000,340000,,,,,,,
ML Benchmark / Eval Researcher,Data & AI,150000,380000,,,,,,,
ML Compiler Engineer (TVM/XLA),Data & AI,160000,450000,,,,,,,
ML Reliability Engineer,Data & AI,150000,380000,,,,,,,
Protein Structure Prediction Engineer,Data & AI,140000,380000,,,,,,,
Aerospace Software Engineer,Engineering,110000,290000,,,,,,,
Analog Design Engineer,Engineering,130000,360000,,,,,,,
Bare Metal / Firmware-near Engineer,Engineering,130000,360000,,,,,,,
Blockchain Protocol Engineer,Engineering,150000,420000,,,,,,,
Computational Photography Engineer,Engineering,140000,360000,,,,,,,
DSP Engineer (Digital Signal Processing),Engineering,130000,340000,,,,,,,
Digital Design Engineer,Engineering,130000,350000,,,,,,,
DirectX Engineer,Engineering,130000,340000,,,,,,,
Embedded Systems Architect,Engineering,150000,380000,,,,,,,
Event-Driven Architecture Engineer,Engineering,140000,380000,,,,,,,
FPGA Design Engineer,Engineering,130000,360000,,,,,,,
FPGA Software Engineer,Engineering,130000,340000,,,,,,,
Game Rendering / Graphics Programmer,Engineering,130000,340000,,,,,,,
Graphics / Rendering Engineer,Engineering,130000,380000,,,,,,,
Layer 2 / Rollup Engineer,Engineering,150000,420000,,,,,,,
Medical Device Firmware Engineer,Engineering,110000,280000,,,,,,,
Metal Engineer (Apple),Engineering,130000,340000,,,,,,,
Mixed-signal Design Engineer,Engineering,140000,370000,,,,,,,
Physical Design Engineer,Engineering,140000,370000,,,,,,,
RTL Designer,Engineering,130000,350000,,,,,,,
Real-time Ray Tracing Engineer,Engineering,140000,360000,,,,,,,
Risk Engineer (Financial),Engineering,140000,380000,,,,,,,
Robotic Manipulation Engineer,Engineering,140000,380000,,,,,,,
Senior Firmware Engineer,Engineering,130000,320000,,,,,,,
Space / Orbital Software Engineer,Engineering,130000,360000,,,,,,,
SystemVerilog Engineer,Engineering,130000,350000,,,,,,,
VLSI Engineer,Engineering,130000,350000,,,,,,,
Verilog Engineer,Engineering,120000,340000,,,,,,,
Video Codec Engineer,Engineering,140000,360000,,,,,,,
Vulkan Engineer,Engineering,130000,340000,,,,,,,
Automotive Security Engineer,Security,130000,330000,,,,,,,
Cryptographic Protocol Engineer,Security,150000,400000,,,,,,,
Differential Privacy Engineer,Security,140000,360000,,,,,,,
Exploit Developer,Security,150000,450000,,,,,,,
GRC / Compliance Engineer,Security,110000,260000,,,,,,,
Hardware Security Engineer,Security,140000,360000,,,,,,,
Kubernetes Security Engineer,Security,130000,330000,,,,,,,
Reverse Engineer,Security,130000,360000,,,,,,,
Sales Engineer,Specialized & Emerging,130000,350000,,,,,,,
Solutions Engineer,Specialized & Emerging,120000,320000,,,,,,,
AI Solutions Engineer,Data & AI,130000,340000,,,,,,,
Applied AI Engineer,Data & AI,130000,360000,,,,,,,
Generative AI Engineer,Data & AI,130000,380000,,,,,,,
RAG (Retrieval-Augmented Generation) Engineer,Data & AI,130000,340000,,,,,,,
Enterprise Architect,Engineering,150000,380000,,,,,,,
Full-Stack AI Engineer,Engineering,130000,360000,,,,,,,
Garbage Collection Engineer,Engineering,160000,440000,,,,,,,
Language Runtime Engineer (CLR),Engineering,150000,400000,,,,,,,
Memory Management Engineer,Engineering,150000,410000,,,,,,,
Director of Product,Engineering Leadership,190000,450000,,,,,,,
Developer Experience Engineer,Specialized & Emerging,120000,300000,120000,300000,150000,230000,640,,
Bioinformatics Engineer,Data & AI,100000,280000,,,,,,,
Fraud ML Engineer,Data & AI,130000,330000,,,,,,,
Image Generation Engineer,Data & AI,140000,380000,,,,,,,
JAX Specialist,Data & AI,140000,360000,,,,,,,
Ray / Distributed ML Engineer,Data & AI,150000,400000,,,,,,,
Search ML Engineer (Learning to Rank),Data & AI,140000,350000,,,,,,,
Triton Inference Server Engineer,Data & AI,150000,380000,,,,,,,
vLLM / SGLang Engineer,Data & AI,150000,400000,,,,,,,
Embedded C Engineer,Engineering,95000,250000,,,,,,,
Embedded C++ Engineer,Engineering,110000,280000,,,,,,,
Embedded Engineer,Engineering,90000,230000,90000,230000,130000,200000,920,,
Embedded Linux Engineer,Engineering,110000,290000,,,,,,,
FinTech Backend Engineer,Engineering,130000,360000,,,,,,,
Firmware Engineer,Engineering,100000,260000,,,,,,,
Healthcare Software Engineer,Engineering,110000,290000,,,,,,,
ROS Engineer,Engineering,110000,290000,,,,,,,
"RTOS Engineer (FreeRTOS, Zephyr)",Engineering,110000,280000,,,,,,,
Reliability Engineer (Application),Engineering,130000,320000,,,,,,,
Robotics Firmware Engineer,Engineering,120000,310000,,,,,,,
Search Backend Engineer (Elasticsearch),Engineering,130000,350000,,,,,,,
Software Modernization Engineer (Legacy → Cloud),Engineering,140000,340000,,,,,,,
WebAssembly (WASM) Engineer,Engineering,130000,340000,,,,,,,
AWS Data Engineer,Platform & Infrastructure,120000,310000,,,,,,,
Azure AI Engineer,Platform & Infrastructure,120000,320000,,,,,,,
Azure Solutions Architect,Platform & Infrastructure,140000,340000,,,,,,,
Cloud Solutions Architect,Platform & Infrastructure,150000,360000,,,,,,,
GCP Solutions Architect,Platform & Infrastructure,140000,340000,,,,,,,
Kubernetes Operator Developer,Platform & Infrastructure,140000,350000,,,,,,,
Lead DevOps Engineer,Platform & Infrastructure,150000,360000,,,,,,,
Senior Database Engineer,Platform & Infrastructure,130000,310000,,,,,,,
Senior DevOps Engineer,Platform & Infrastructure,130000,320000,,,,,,,
Senior Design Engineer,Product & Design,140000,320000,,,,,,,
API Security Engineer,Security,120000,310000,,,,,,,
Container Security Engineer,Security,120000,310000,,,,,,,
Network Security Engineer,Security,110000,280000,,,,,,,
Open Source Security Engineer,Security,130000,320000,,,,,,,
Pre-sales Solutions Architect,Specialized & Emerging,150000,380000,,,,,,,
Senior Developer Experience Engineer,Specialized & Emerging,150000,360000,,,,,,,
AI Application Engineer,Data & AI,120000,320000,120000,320000,150000,260000,1240,,
Weather / Atmospheric ML Engineer,Data & AI,130000,340000,,,,,,,
Bitcoin Core Developer,Engineering,130000,360000,,,,,,,
Browser Engine Engineer (WebKit),Engineering,170000,480000,,,,,,,
Climate Tech Software Engineer,Engineering,110000,280000,,,,,,,
Codec Engineer,Engineering,140000,360000,,,,,,,
Domain-Driven Design Architect,Engineering,150000,380000,,,,,,,
EDA Software Engineer,Engineering,140000,360000,,,,,,,
Game Engine Programmer,Engineering,140000,350000,,,,,,,
Programming Language Designer,Engineering,150000,420000,,,,,,,
Quantum Algorithms Engineer,Engineering,150000,400000,,,,,,,
Quantum Software Engineer,Engineering,140000,380000,,,,,,,
Rendering Researcher,Engineering,150000,400000,,,,,,,
Smart Contract Auditor,Engineering,140000,400000,,,,,,,
Trading Infrastructure Engineer,Engineering,160000,450000,,,,,,,
macOS / Darwin Engineer,Engineering,140000,380000,,,,,,,
zk-SNARK Engineer,Engineering,150000,450000,,,,,,,
zk-STARK Engineer,Engineering,150000,450000,,,,,,,
API Product Manager,Product & Design,140000,330000,,,,,,,
Data Product Manager,Product & Design,140000,350000,,,,,,,
Enterprise Product Manager,Product & Design,140000,340000,,,,,,,
Product Manager,Product & Design,110000,310000,110000,310000,140000,230000,3450,,
GDPR / Privacy Compliance Engineer,Security,110000,270000,,,,,,,
Pre-sales Engineer,Specialized & Emerging,130000,320000,,,,,,,
Databricks Data Engineer,Data & AI,130000,310000,,,,,,,
Hugging Face / Transformers Engineer,Data & AI,130000,320000,,,,,,,
NLP Researcher,Data & AI,160000,420000,,,,,,,
PyTorch Specialist,Data & AI,130000,320000,,,,,,,
Real-time Data Engineer,Data & AI,130000,320000,,,,,,,
Recommender Systems Engineer,Data & AI,120000,310000,,,,,,,
Streaming Data Engineer,Data & AI,130000,310000,,,,,,,
Voice AI Engineer,Data & AI,130000,350000,,,,,,,
Backend API Engineer,Engineering,100000,280000,,,,,,,
Backend Engineer,Engineering,90000,280000,90000,280000,140000,220000,4380,,
Python Backend Engineer,Engineering,100000,290000,,,,,,,
AWS DevOps Engineer,Platform & Infrastructure,110000,290000,,,,,,,
CI/CD Engineer,Platform & Infrastructure,110000,290000,,,,,,,
DevOps Engineer,Platform & Infrastructure,100000,290000,100000,290000,140000,220000,2480,,
Snowflake Engineer,Platform & Infrastructure,130000,320000,,,,,,,
Vector Database Engineer (Pinecone/Weaviate),Platform & Infrastructure,130000,320000,,,,,,,
Design Director,Product & Design,180000,420000,,,,,,,
Design Engineer,Product & Design,110000,280000,,,,,,,
Design Systems Engineer,Product & Design,110000,270000,,,,,,,
Security QA Engineer,Quality & Testing,110000,270000,,,,,,,
Test Architect,Quality & Testing,120000,290000,,,,,,,
Bug Bounty Hunter,Security,50000,500000,,,,,,,
Identity & Access Management Engineer,Security,110000,260000,,,,,,,
Security Automation / SOAR Engineer,Security,120000,300000,,,,,,,
Threat Hunter,Security,110000,280000,,,,,,,
Web Application Pentester,Security,100000,260000,,,,,,,
Audio ML Engineer,Data & AI,130000,350000,,,,,,,
Principal Data Scientist,Data & AI,220000,500000,,,,,,,
Quantitative Analyst,Data & AI,130000,400000,,,,,,,
Speech Recognition Engineer,Data & AI,130000,350000,,,,,,,
Speech Synthesis (TTS) Engineer,Data & AI,130000,360000,,,,,,,
Audio DSP Engineer,Engineering,130000,330000,,,,,,,
DFT (Design for Test) Engineer,Engineering,130000,340000,,,,,,,
Drone Firmware Engineer,Engineering,110000,290000,,,,,,,
Drone Software Engineer,Engineering,110000,290000,,,,,,,
Energy / Smart Grid Engineer,Engineering,110000,290000,,,,,,,
Game Anti-cheat Engineer,Engineering,130000,320000,,,,,,,
Game Physics Programmer,Engineering,110000,280000,,,,,,,
Idempotency / Retries Engineer,Engineering,130000,350000,,,,,,,
Lightning Network Engineer,Engineering,130000,340000,,,,,,,
Medical Imaging Software Engineer,Engineering,130000,330000,,,,,,,
Microcontroller Programmer,Engineering,80000,200000,,,,,,,
Real-time Communications Engineer (WebRTC),Engineering,130000,330000,,,,,,,
Robotics Simulation Engineer,Engineering,130000,340000,,,,,,,
Senior Smart Contract Engineer,Engineering,140000,400000,,,,,,,
Service Mesh Architect,Engineering,140000,350000,,,,,,,
Shader Programmer,Engineering,130000,340000,,,,,,,
Staff Android Engineer,Engineering,175000,410000,,,,,,,
Staff Full-Stack Engineer,Engineering,180000,420000,,,,,,,
Staff iOS Engineer,Engineering,180000,420000,,,,,,,
Static Analysis Engineer,Engineering,130000,350000,,,,,,,
VHDL Engineer,Engineering,110000,320000,,,,,,,
Video Encoding Engineer,Engineering,130000,330000,,,,,,,
Head of Mobile,Engineering Leadership,180000,400000,,,,,,,
Database Architect,Platform & Infrastructure,140000,340000,,,,,,,
Senior Design Manager,Product & Design,160000,380000,,,,,,,
Senior Design Systems Engineer,Product & Design,140000,320000,,,,,,,
Embedded Security Engineer,Security,120000,310000,,,,,,,
Fuzzing Engineer,Security,130000,330000,,,,,,,
Hardware Pentester,Security,120000,320000,,,,,,,
ICS / SCADA Security Engineer,Security,120000,300000,,,,,,,
Malware Analyst,Security,110000,290000,,,,,,,
Open Source Maintainer,Specialized & Emerging,100000,300000,,,,,,,
AI Ethics Researcher,Data & AI,130000,320000,,,,,,,
AI Workflow / Orchestration Engineer,Data & AI,130000,330000,,,,,,,
Senior NLP Engineer,Data & AI,150000,360000,,,,,,,
Compliance Software Engineer,Engineering,120000,300000,,,,,,,
GCC Maintainer,Engineering,140000,380000,,,,,,,
Chief Digital Officer,Engineering Leadership,220000,600000,,,,,,,
Director of Design,Engineering Leadership,180000,420000,,,,,,,
Engineering Chief of Staff,Engineering Leadership,150000,380000,,,,,,,
Chaos Engineer,Platform & Infrastructure,130000,320000,,,,,,,
Payments Product Manager,Product & Design,140000,340000,,,,,,,
SOC Manager,Security,130000,280000,,,,,,,
Vulnerability Management Engineer,Security,100000,240000,,,,,,,
Anomaly Detection ML Engineer,Data & AI,120000,300000,,,,,,,
Big Data Engineer,Data & AI,120000,300000,,,,,,,
Data Lakehouse Engineer,Data & AI,120000,300000,,,,,,,
Data Reliability Engineer,Data & AI,130000,310000,,,,,,,
Embedding Engineer,Data & AI,130000,320000,,,,,,,
Feature Store Engineer,Data & AI,130000,320000,,,,,,,
Genomics Pipeline Engineer,Data & AI,110000,280000,,,,,,,
Iceberg / Delta / Hudi Engineer,Data & AI,130000,310000,,,,,,,
Kafka Streams Engineer,Data & AI,130000,310000,,,,,,,
ML Tooling Engineer (Ray/Dask),Data & AI,130000,320000,,,,,,,
Model Deployment Engineer,Data & AI,130000,320000,,,,,,,
Model Monitoring Engineer,Data & AI,130000,320000,,,,,,,
Spark Engineer,Data & AI,120000,290000,,,,,,,
Synthetic Data Engineer,Data & AI,130000,320000,,,,,,,
Time Series ML Engineer,Data & AI,120000,310000,,,,,,,
Vector Search Engineer,Data & AI,130000,320000,,,,,,,
Application Architect,Engineering,140000,340000,,,,,,,
Backend Caching Engineer,Engineering,120000,320000,,,,,,,
Developer Tools Engineer,Engineering,130000,320000,,,,,,,
Edge Runtime Engineer (Cloudflare Workers/Deno Deploy),Engineering,130000,320000,,,,,,,
Game AI Programmer,Engineering,110000,280000,,,,,,,
HL7 / FHIR Integration Engineer,Engineering,110000,270000,,,,,,,
Hardware Validation Engineer,Engineering,110000,280000,,,,,,,
Industrial Control / PLC Engineer,Engineering,95000,240000,,,,,,,
Industrial Robotics Programmer,Engineering,100000,240000,,,,,,,
IoT Edge Engineer,Engineering,110000,280000,,,,,,,
Mobile Performance Engineer,Engineering,130000,320000,,,,,,,
Pricing / Monetization Engineer,Engineering,130000,330000,,,,,,,
Refactoring / Modernization Engineer,Engineering,130000,320000,,,,,,,
Rust Smart Contract Engineer (Solana),Engineering,130000,360000,,,,,,,
Senior Android Engineer,Engineering,125000,300000,,,,,,,
Senior iOS Engineer,Engineering,130000,310000,,,,,,,
Streaming Media Engineer,Engineering,130000,320000,,,,,,,
Workflow Engine Engineer (Temporal/Cadence),Engineering,130000,340000,,,,,,,
Yocto / Buildroot Engineer,Engineering,110000,280000,,,,,,,
gRPC / Protobuf Engineer,Engineering,120000,320000,,,,,,,
Backstage Engineer,Platform & Infrastructure,130000,320000,,,,,,,
ClickHouse Engineer,Platform & Infrastructure,130000,320000,,,,,,,
Database Engineer / DBA,Platform & Infrastructure,100000,250000,,,,,,,
Database Reliability Engineer,Platform & Infrastructure,130000,320000,,,,,,,
Edge Computing Engineer,Platform & Infrastructure,120000,310000,,,,,,,
GCP Data Engineer,Platform & Infrastructure,120000,310000,,,,,,,
Multi-cloud Architect,Platform & Infrastructure,150000,350000,,,,,,,
Network Architect,Platform & Infrastructure,140000,320000,,,,,,,
PostgreSQL DBA,Platform & Infrastructure,110000,270000,,,,,,,
Service Mesh Engineer (Istio/Linkerd),Platform & Infrastructure,130000,330000,,,,,,,
Tracing Engineer (OpenTelemetry/Jaeger),Platform & Infrastructure,120000,290000,,,,,,,
